ConsumerCyclical	Industrials
38.49	82.67
40.01	129.56
37.15	71.32
27.03	70.29
40.91	32.2
30.38	46.13
28.92	36.26
28.84	27.02
6.2	39.99
1.89	37.3
4.43	65.38
24.42	29.51
7.5	30.64
74.84	11.84
6.11	28.78
4.83	27.89
-0.24	13.31
4.5	48.45
35.98	15.7
29.26	24.74
7.3	42.95
6.21	9.74
6.46	29.51
15.76	8.35
4.45	-1.73
-0.42	-5.02
16.25	25.44
11.43	1.81
8.64	18.57
11.34	14.91
29.42	23.12
-0.55	20.53
4.36	18.56
15.05	16.92
1.1	-41.53
34.73	47.52
11.61	37.74
2.64	20.17
6.61	14.92
-5.75	4.22
1.34	13.88
-1.06	20.58
23.16	7.9
10.51	10.29
11.59	6.87
0.31	0.07
-8	7.76
1.06	9.65
1.59	4.33
5.39	-3.8
0.6	1.66
-10.9	0.29
-4.12	9.49
-3.71	7.84
-10.12	2.44
10.83	2.6
-3.15	9.53
-7.77	20.83
12.53	18.28
29	23.95
-8.17	-7.51
-1.57	19.34
26.79	6.24
39.62	7.63
-6.71	9.21
24.49	50.32
45.86	2.17
-6.25	4.32
-3.73	-4.77
-19.07	4.73
-3.27	12.25
-1.4	-10.67
-4.24	16.92
3.95	-9.23
4.12	-9.6
2.54	-7.63
-3.76	9.41
-4.57	9.54
-23.32	-13.47
-4.56	-9.75
-3.23	-4.85
-23.72	27.06
3.88	23.25
1.86	20.1
-18.69	1.38
12	0.58
-12.17	-5.24
-24.2	-6.76
-24.38	-2.55
-8.18	-8.31
-22.47	-6.83
-22.64	-6.76
-28	-27.36
-30.13	10.01
59.25	-26.06
0	-12.21
	6.84
	1.79
