Gender	Age	Kiss
Male	47	No
Male	47	No
Male	27	No
Male	46	No
Male	50	No
Female	47	No
Female	16	No
Female	49	Yes
Female	60	Yes
Male	23	No
Female	18	No
Female	43	Yes
Female	70	Yes
Male	47	No
Female	47	Yes
Female	33	No
Female	40	No
Female	33	Yes
Male	47	No
Male	35	Yes
Male	33	No
Female	33	No
Female	43	Yes
Male	48	No
Female	38	Yes
Female	47	No
Male	33	No
Male	48	Yes
Male	47	No
Female	19	No
Female	18	Yes
Female	19	No
Female	19	No
Female	18	No
Female	18	No
Female	21	No
Female	25	No
Male	20	No
Female	37	No
Female	40	No
Female	19	No
Female	19	Yes
Female	24	No
Female	30	No
Female	38	Yes
Female	66	Yes
Female	61	No
Female	34	No
Female	20	Yes
Female	20	No
Female	18	No
Female	18	No
Female	23	No
Female	22	Yes
Female	21	No
Female	39	Yes
Male	21	Yes
Female	23	No
Male	77	No
Male	49	No
Female	19	Yes
Female	18	No
Female	19	Yes
Female	20	No
Male	21	No
Male	62	No
Male	25	Yes
Male	64	Yes
Female	23	No
Female	21	No
Female	63	No
Female	23	No
Female	20	Yes
Male	19	No
Female	19	No
Male	20	No
Male	20	No
Female	46	No
Male	21	Yes
Male	21	No
Male	19	No
Female	19	Yes
Female	54	No
Male	20	No
Female	39	No
Female	23	No
Male	24	Yes
Male	41	No
Male	54	Yes
Female	64	Yes
Male	42	No
Female	35	Yes
Male	27	No
Male	19	No
