Gender	Drop Reason
Male	Personal
Female	Personal
Male	Work
Male	Personal
Male	Course
Male	Course
Female	Course
Female	Course
Male	Course
Female	Course
Male	Personal
Male	Work
Male	Work
Male	Course
Male	Course
Male	Work
Female	Personal
Male	Course
Female	Work
Male	Work
Male	Work
Female	Course
Female	Personal
Female	Personal
Female	Personal
Male	Work
Male	Work
Female	Course
Male	Work
Female	Course
Female	Course
Female	Course
Male	Work
Male	Personal
Male	Course
Female	Course
Female	Course
Male	Course
Female	Course
Male	Work
Male	Course
Female	Work
Male	Personal
Male	Work
Female	Course
Male	Course
Male	Personal
Female	Course
Female	Work
Male	Work
