Person Question1 Question2
1 A B
2 A B
3 A B
4 B A
5 A B
6 A B
7 A B
8 A A
9 A A
10 A A
11 A A
12 A B
13 A B
14 A B
15 A A
16 A B
17 A B
18 A A
19 A B
20 A B
21 A B
22 A A
23 A B
24 A B
25 A B
26 A B
27 A B
28 A B
29 A B
30 A B
31 A A
32 A A
33 A A
34 A B
35 A B
36 A B
37 A B
38 A B
39 A B
40 B B
41 A B
42 A B
43 A A
44 A B
45 A B
46 A B
47 B B
48 A B
49 B A
50 A B
51 A A
52 B B
53 A B
54 A B
55 A B
56 A B
57 A B
58 A B
59 B A
60 B B
61 A B
62 A A
63 A B
64 A B
65 A B
66 B A
67 B A
68 A B
69 A B
70 A B
71 A B
72 A A
73 B A
74 A B
75 A A
76 A B
77 A B
78 A B
79 A B
80 B A
81 B B
82 B B
83 A B
84 A A
85 A B
86 A A
87 A B
88 B B
89 A B
90 A B
91 A B
92 A B
93 A A
94 A B
95 A B
96 A B
97 A B
98 A A
99 A A
100 B B
101 A B
102 A B
103 A B
104 A A
105 B A
106 A B
107 B A
108 B B
109 B B
110 A B
111 B B
112 A B
113 A A
114 A B
115 A B
116 A B
117 A A
118 A A
119 A B
120 B B
121 A B
122 A A
123 B B
124 B B
125 B A
126 A B
127 A B
128 B A
129 B A
130 A B
