Player	Pos.	Class	Height	Weight	40 YD	Vertical	Bench	Shuttle	Cone	20 YD	var0
Ameer Abdullah	RB	Sr	5	205	4.6	42	24	3.95	6.79	2.68	
Nelson Agholor	WR	Jr	6	198	4.42	-	12	-	-	2.59	
Jay Ajayi	RB	rJr	6	221	4.57	39	19	4.1	7.1	2.66	
Kwon Alexander	OLB	Jr	6	227	4.55	36	24	4.2	7.14	2.68	
Mario Alford	WR	Sr	5	180	4.43	34	13	4.07	6.64	2.64	
Javorius Allen	RB	rJr	6	221	4.53	35	11	4.28	6.96	2.64	
Adrian Amos	S	Sr	6	218	4.56	35	-	4.03	7.09	2.65	
Henry Anderson	DE	rSr	6	294	4.97	30	-	4.19	7.2	2.9	
Stephone Anthony	ILB	Sr	6	243	4.56	37	23	4.03	7.07	2.63	
Arik Armstead	DT	Jr	6	292	5.1	34	24	4.53	7.57	2.92	
Cameron Artis-Payne	RB	Sr	5	212	4.53	36	-	-	7.13	2.67	
Tavaris Barnes	DE	rSr	6	282	4.8	-	22	-	-	2.79	
Vic Beasley	OLB	rSr	6	246	4.53	41	35	4.15	6.91	2.65	
Blake Bell	TE	rSr	6	252	4.8	33	14	4.32	6.85	2.85	
Kenny Bell	WR	rSr	6	197	4.42	41	7	4.15	6.66	2.59	
Bryan Bennett	QB	rSr	6	211	4.81	37	-	4.2	7.13	2.79	
Angelo Blackson	DT	Sr	6	318	5.02	31	20	4.57	7.5	2.93	
Al Bond	OG	rSr	6	303	5.57	23	22	4.65	7.9	3.24	
Anthony Boone	QB	rSr	6	231	5.03	26	-	4.62	7.47	2.91	
Brett Boyko	OG	Sr	6	301	5.6	25	-	4.75	7.91	3.24	
Nick Boyle	TE	Sr	6	268	5.04	30	20	4.23	7.13	2.98	
Brandon Bridge	QB	rSr	6	229	4.72	33	-	4.37	7.18	2.79	
DaRon Brown	WR	rSr	6	205	4.54	37	17	4.11	7.04	2.62	
Malcolm Brown	RB	Sr	5	224	4.62	34	19	4.15	6.86	2.71	
Malcom Brown	DT	Jr	6	319	5.05	29	26	4.59	7.84	2.94	
Trenton Brown	OT	Sr	6	355	5.29	23	20	4.78	8.23	3.08	
Michael Burton	FB	rSr	5	242	4.74	33	25	4.34	7.2	2.75	
Shane Carden	QB	Sr	6	218	4.94	29	-	4.45	7.17	2.88	
Joe Cardona	LS	rSr	6	242	4.91	33	30	-	-	2.85	
Alex Carter	CB	Jr	6	196	4.51	40	17	4.07	7.05	2.64	
B.J. Catalon	RB	Jr	5	186	4.57	36	-	4.15	6.9	2.74	
Donald Celiscar	CB	Sr	5	194	4.62	-	-	-	-	2.71	
Anthony Chickillo	DE	Sr	6	267	4.79	34	27	4.25	7.17	2.77	
Gerald Christian	TE	rSr	6	244	4.87	-	28	4.7	7.62	2.84	
Frank Clark	DE	Sr	6	271	4.79	38	19	4.05	7.08	2.81	
Kaelin Clay	WR	Sr	5	195	4.51	33	10	4.26	6.97	2.67	
Cameron Clear	OT	rSr	6	277	4.98	32	-	4.48	7.52	2.91	
T.J. Clemmings	OT	rSr	6	309	5.14	32	22	4.54	7.68	3.02	
Sammie Coates	WR	rJr	6	212	4.43	41	23	4.06	6.98	2.59	
Takoby Cofield	OT	rSr	6	310	5.19	30	23	4.79	8.09	3.05	
Justin Coleman	CB	Sr	5	185	4.53	37	20	3.98	6.61	2.6	
Jalen Collins	CB	rJr	6	203	4.48	36	-	4.27	6.77	2.63	
