sex	age	perceived intelligence (ALL)	perceived intelligence (WOMEN)	perceived intelligence (MEN)	attractiveness (ALL)	attractiveness (MEN)	attractiveness (WOMEN)	IQ	var0
F	20	0.2911	0.4532	0.1175	0.6941	0.6808	0.7331	106	
F	20	0.0544	0.1066	-0.0016	-0.1157	-0.327	0.0142	128	
F	21	0.322	0.2773	0.3699	0.487	0.3402	0.5909	121	
F	19	-0.0082	0.183	-0.2131	0.6872	0.6592	0.688	132	
F	22	0.0327	0.1764	-0.1214	-0.2828	-0.3826	-0.1813	143	
F	20	0.8611	0.8186	0.9066	1.3581	1.331	1.4332	134	
F	19	-0.7947	-0.8507	-0.7346	-0.8785	-0.7984	-0.9932	117	
F	20	0.5605	0.5637	0.5571	1.4174	1.4038	1.382	115	
F	23	0.615	0.777	0.4414	0.7535	0.7776	0.6929	119	
F	20	0.0391	0.0721	0.0038	0.2687	0.1079	0.2841	142	
F	24	0.2119	0.2761	0.1432	0.2773	0.0843	0.3874	101	
F	23	0.6571	0.706	0.6048	1.016	0.7028	1.226	127	
F	21	-0.0401	-0.0485	-0.0311	-0.2637	-0.3098	-0.2045	114	
F	23	-0.0918	-0.181	0.0037	-0.1517	-0.3117	-0.0226	118	
F	20	-0.1351	-0.2076	-0.0576	-0.212	-0.1903	-0.1658	124	
F	19	-0.2416	-0.1844	-0.303	-0.5576	-0.6442	-0.5613	122	
F	22	-0.3121	-0.2936	-0.3319	-0.2502	-0.2481	-0.2437	132	
F	24	-0.0191	0.047	-0.0898	0.0496	-0.19	0.2562	105	
F	22	-0.6792	-0.9052	-0.437	-0.9277	-0.9686	-0.9624	138	
F	19	-0.4152	-0.4234	-0.4064	-0.2663	-0.2626	-0.2461	144	
F	20	0.9682	0.9918	0.9429	1.8258	1.5745	2.0322	125	
F	20	0.6655	0.7398	0.5859	0.4556	0.2919	0.5877	148	
F	20	0.4069	0.4174	0.3957	0.3651	0.4705	0.3054	113	
F	24	-0.4869	-0.5248	-0.4463	-0.9222	-0.8617	-1.0067	132	
F	22	0.3304	0.2852	0.3788	0.0427	0.0691	-0.0095	148	
F	21	0.1924	0.1849	0.2004	0.3522	0.2223	0.4876	115	
F	19	-0.611	-0.6629	-0.5554	-0.673	-0.6606	-0.7046	96	
F	20	-0.2919	-0.3789	-0.1987	-0.4278	-0.5597	-0.3058	133	
F	21	0.3503	0.4567	0.2363	0.8823	0.9538	0.8097	87	
F	21	-0.5444	-0.6294	-0.4533	-0.4348	-0.3794	-0.49	144	
F	21	-0.5733	-0.4862	-0.6666	-0.8449	-0.9246	-0.7893	117	
F	24	0.2894	0.2694	0.3109	1.0922	1.0358	1.1399	117	
F	20	0.4364	0.5952	0.2664	1.1972	0.9887	1.3897	121	
F	19	-0.3268	-0.2836	-0.3731	-0.2442	-0.1903	-0.2935	97	
F	20	0.6548	0.6796	0.6281	0.4837	0.1398	0.7928	112	
F	19	-0.0553	0.1902	-0.3184	-0.1527	-0.3456	-0.008	121	
F	20	0.0459	-0.1737	0.2812	0.3532	0.5053	0.2372	114	
F	24	0.0183	0.2561	-0.2364	-0.0445	-0.1399	-0.0112	142	
F	20	0.0025	0.0233	-0.0197	0.069	0.0436	0.157	126	
F	20	0.3473	0.279	0.4204	0.7716	0.7131	0.8163	109	
M	21	-0.3639	-0.403	-0.322	-0.5301	-0.3538	-0.6953	107	
M	21	-0.0457	-0.1389	0.0541	0.2941	0.3619	0.2939	140	
M	24	0.2039	0.3405	0.0575	0.3309	0.41	0.2973	158	
M	21	-0.2543	-0.2911	-0.2149	-0.103	-0.0897	-0.1399	108	
M	21	0.3514	0.4523	0.2432	0.3342	0.3745	0.2768	129	
M	34	-0.1142	-0.1996	-0.0227	-0.9318	-0.9268	-0.9428	91	
M	24	0.1767	0.0027	0.3631	-0.5681	-0.6707	-0.4542	156	
M	20	-0.1932	-0.1446	-0.2452	-0.335	-0.2223	-0.4747	100	
M	23	0.4591	0.395	0.5278	0.5278	0.8095	0.335	131	
M	20	-0.2715	-0.3652	-0.1711	-0.587	-0.5431	-0.6285	133	
M	20	0.2169	0.2141	0.2198	0.1258	0.2466	0.0642	138	
M	23	0.1227	0.2427	-0.0059	-0.6896	-0.5133	-0.8201	131	
M	20	0.2005	0.3953	-0.0083	0.49	0.3423	0.6741	147	
M	20	-0.4006	-0.423	-0.3765	-0.2762	-0.1629	-0.3818	99	
M	22	-0.1924	-0.228	-0.1543	-0.3699	-0.4358	-0.3196	159	
M	20	-0.133	-0.1128	-0.1546	-0.4067	-0.2229	-0.5629	135	
M	26	0.2229	0.1253	0.3276	-0.2885	-0.2263	-0.2544	134	
M	22	0.206	0.1745	0.2396	-0.0371	-0.0038	-0.0553	97	
M	20	-0.0764	0.0714	-0.2347	0.5358	0.5113	0.5136	152	
M	21	-0.0262	-0.0868	0.0388	0.1584	0.1642	0.2368	121	
M	21	0.1866	0.2	0.1723	-0.1183	-0.0778	-0.037	110	
M	23	-0.4834	-0.5089	-0.4561	-1.1665	-1.0081	-1.268	106	
M	30	0.2519	0.1817	0.327	-0.559	-0.5749	-0.5378	127	
M	21	0.0698	-0.0393	0.1868	0.7158	0.7524	0.7557	112	
M	21	-0.109	-0.1346	-0.0816	-0.7714	-0.6391	-0.8674	121	
M	20	-0.8619	-0.947	-0.7707	-0.0321	0.0883	-0.2274	95	
M	21	-0.2573	-0.3103	-0.2005	0.9419	0.947	0.8521	143	
M	20	0.1349	0.0151	0.2633	-0.2523	-0.3531	-0.1998	137	
M	19	-0.2842	-0.3188	-0.2472	-0.1857	0.0456	-0.4139	159	
M	21	0.5323	0.6097	0.4494	0.9589	0.8576	1.0277	136	
M	22	-0.4135	-0.417	-0.4097	-0.6852	-0.5173	-0.7342	153	
M	21	-0.1234	0.0469	-0.3058	-0.517	-0.3498	-0.6752	118	
M	20	0.089	-0.0105	0.1956	-0.3385	-0.3352	-0.3629	131	
M	21	-0.7829	-0.9572	-0.5961	-1.1054	-1.0557	-1.1815	127	
M	20	-0.2117	-0.2178	-0.2052	-0.2228	-0.1654	-0.2496	145	
M	19	0.1298	0.0858	0.177	0.2342	0.558	0.0029	113	
M	21	0.1101	0.0898	0.1319	0.1589	0.2823	0.0355	135	
M	21	-0.784	-0.8716	-0.6903	-1.0809	-0.8796	-1.2761	105	
M	22	-0.1649	-0.1917	-0.1361	-0.136	-0.0865	-0.1817	121	
M	25	0.1565	0.083	0.2352	-0.7621	-0.7387	-0.6675	144	
