Month Day Time State "F Scale" Injuries Fatalities PropLoss Length Width NumberStates
1 2 10:06:00 LA 1 0 0 25000 0.3 20 1
1 2 10:17:00 LA 1 0 0 50000 1.2 50 1
1 2 10:30:00 LA 1 0 0 20000 4.64 100 1
1 2 10:30:00 LA 1 0 0 150000 2.74 100 1
1 2 11:06:00 LA 1 0 0 50000 0.54 50 1
1 2 11:30:00 LA 0 0 0 75000 0.54 25 1
1 2 11:31:00 LA 1 0 0 250000 1.4 100 1
1 2 11:44:00 LA 1 0 0 1000000 1.64 200 1
1 2 11:47:00 LA 1 0 0 1000000 2.84 200 1
1 2 11:51:00 LA 1 0 0 2500000 1.05 200 1
1 2 13:45:00 LA 1 0 0 0 0.08 75 1
1 2 14:44:00 LA 0 0 0 0 0.01 5 1
1 21 17:23:00 LA 2 0 0 75000 2.37 400 2
1 21 17:12:00 LA 2 1 0 825000 10.79 990 1
1 21 17:55:00 LA 1 0 0 10000 3.5 350 1
1 21 17:56:00 LA 2 1 0 500000 2.04 300 1
1 21 19:00:00 LA 1 1 0 250000 2.23 150 1
1 21 19:51:00 LA 0 0 0 25000 1.24 150 1
1 21 20:29:00 LA 0 0 0 90000 0.16 100 1
1 21 20:48:00 LA 0 0 0 10000 0.62 50 1
1 21 21:04:00 LA 1 0 0 145000 8.87 300 1
2 7 10:20:00 LA 2 3 0 0 23.08 500 1
2 7 10:51:00 LA 0 0 0 0 0.95 25 1
2 7 11:04:00 LA 1 0 1 0 6.13 75 1
2 7 11:12:00 LA 3 33 0 0 10.09 600 1
2 7 11:50:00 LA 3 3 0 0 6.43 350 1
2 7 12:20:00 LA 1 0 0 0 0.26 50 1
3 24 21:05:00 LA 1 0 0 100000 2.07 220 1
3 24 21:35:00 LA 1 0 0 60000 1.46 110 1
3 24 22:00:00 LA 1 0 0 70000 8.51 2464 1
3 24 22:49:00 LA 1 0 0 3000 1.23 350 1
3 24 22:54:00 LA 1 0 0 15000 6.9 100 1
3 29 19:11:00 LA 2 0 0 125000 3.57 100 1
4 2 8:04:00 LA 1 0 0 5000 0.06 10 1
4 2 8:47:00 LA 1 0 2 15000 0.8 20 1
4 2 13:32:00 LA 1 0 0 5000 7.29 50 1
4 2 13:50:00 LA 2 0 0 250000 6.11 800 1
4 2 13:53:00 LA 2 0 0 100000 5.55 1636 1
4 2 14:05:00 LA 1 0 0 750000 5.41 500 1
4 2 14:07:00 LA 1 0 0 50000 9.83 370 1
4 2 14:20:00 LA 0 0 0 0 0.1 10 1
4 2 14:52:00 LA 2 0 0 1000000 13.66 2252 1
4 2 14:54:00 LA 1 0 0 0 4.1 1108 1
4 2 15:12:00 LA 1 0 0 70000 4.43 1108 1
4 2 15:17:00 LA 1 0 0 85000 13.19 1232 1
4 2 15:17:00 LA 0 0 0 0 0 0 1
4 2 15:18:00 LA 2 0 0 600000 1.09 440 1
4 2 15:22:00 LA 2 1 0 525000 13.77 880 1
4 2 15:48:00 LA 1 0 0 75000 3.69 300 1
4 2 15:49:00 LA 1 0 0 220000 3.78 880 1
4 2 15:57:00 LA 1 0 0 150000 0.99 600 1
4 2 16:09:00 LA 2 2 0 300000 5.83 616 1
4 2 16:41:00 LA 0 0 0 2000 1.4 100 1
4 3 3:03:00 LA 1 0 0 0 1.2 50 1
4 3 3:14:00 LA 1 0 0 0 1.76 100 1
4 29 13:24:00 LA 1 0 0 200000 1.96 290 1
4 30 2:07:00 LA 1 0 0 50000 6.87 1760 1
4 30 3:20:00 LA 1 0 0 110000 0.63 95 1
4 30 3:44:00 LA 1 0 0 100000 5.71 50 1
4 30 6:13:00 LA 1 0 0 100000 9.24 440 2
4 30 6:13:00 LA 1 0 0 50000 7.3 200 2
4 30 12:15:00 LA 1 0 0 0 0.9 50 1
4 30 12:50:00 LA 0 0 0 0 0.3 40 1
5 11 19:15:00 LA 1 0 0 10000 2.32 215 1
5 11 19:31:00 LA 1 0 0 0 0.76 110 1
5 12 3:06:00 LA 1 0 0 15000 3.04 267 1
5 12 8:01:00 LA 0 0 0 10000 0.14 40 1
5 12 8:01:00 LA 1 1 0 0 0.6 30 1
5 12 10:13:00 LA 0 0 0 0 0.2 25 1
5 12 15:35:00 LA 0 0 0 0 0.54 20 1
5 28 18:50:00 LA 1 0 0 0 1.13 564 1
5 28 18:52:00 LA 1 0 0 0 0.12 127 1
5 28 19:07:00 LA 1 0 0 0 0.09 135 1
5 30 13:36:00 LA -9 0 0 0 0.25 50 1
5 30 15:39:00 LA 0 0 0 0 0.25 75 1
7 15 12:14:00 LA 0 0 0 0 0.05 10 1
7 19 16:30:00 LA 0 0 0 0 0.67 10 1
8 26 11:22:00 LA 0 0 0 7000 1.66 25 1
8 27 13:15:00 LA 0 0 0 5000 0.21 25 1
8 27 13:35:00 LA 0 0 0 0 0.15 25 1
8 28 3:39:00 LA 0 0 0 15000 0.28 25 1
8 29 16:00:00 LA 0 0 0 0 0.02 25 1
8 29 16:09:00 LA 2 0 0 200000 2.18 175 1
8 29 16:34:00 LA 0 0 0 0 0.14 25 1
12 20 1:02:00 LA 1 0 0 75000 0.95 110 1
12 20 1:59:00 LA 1 0 0 15000 3.05 600 1
12 20 2:17:00 LA 1 0 0 250000 4.7 600 1
