RK PLAYER TEAM ERA K/BB K/9 P/PA P/IP W% GB FB G/F RS WHIP
1 "Clayton Kershaw" LAD 1.77 7.71 10.85 3.63 13.7 0.875 251 224 1.12 5.04 0.86
2 "Felix Hernandez" SEA 2.14 5.39 9.46 3.77 14.6 0.714 352 261 1.35 4.29 0.92
3 "Chris Sale" CHW 2.17 5.33 10.76 4.02 15.8 0.75 182 244 0.75 3.88 0.97
4 "Johnny Cueto" CIN 2.25 3.72 8.94 3.81 15 0.69 310 326 0.95 3.26 0.96
5 "Adam Wainwright" STL 2.38 3.58 7.1 3.63 14.4 0.69 324 337 0.96 4.28 1.03
6 "Doug Fister" WSH 2.41 4.08 5.38 3.73 15 0.727 271 261 1.04 4.48 1.08
7 "Corey Kluber" CLE 2.44 5.27 10.27 3.68 14.9 0.667 310 313 0.99 4.35 1.09
8 "Jon Lester" BOS/OAK 2.46 4.58 9.01 3.95 15.9 0.593 273 335 0.81 3.97 1.1
9 "Cole Hamels" PHI 2.46 3.36 8.71 3.78 15.3 0.5 279 283 0.99 3.43 1.15
11 "Henderson Alvarez" MIA 2.65 3.36 5.34 3.38 14 0.632 346 273 1.27 3.93 1.24
12 "Jordan Zimmermann" WSH 2.66 6.28 8.2 3.66 14.6 0.737 246 333 0.74 4.91 1.07
13 "Zack Greinke" LAD 2.71 4.81 9.21 3.91 15.9 0.68 284 282 1.01 4.72 1.15
14 "Lance Lynn" STL 2.74 2.51 8 3.98 16.9 0.6 281 322 0.87 3.48 1.26
15 "Alex Wood" ATL 2.78 3.78 8.91 3.87 15.6 0.5 227 246 0.92 2.75 1.14
16 "Tyson Ross" SD 2.81 2.71 8.97 3.85 15.9 0.481 318 217 1.47 3.45 1.21
17 "Tanner Roark" WSH 2.85 3.54 6.25 3.76 15.1 0.6 262 352 0.74 4.03 1.09
18 "Alex Cobb" TB 2.87 3.17 8.06 3.83 15.7 0.526 268 206 1.3 3.37 1.14
