Subject	Simple	Go/No Go	
1	0.220	0.375	
2	0.430	1.759	
3	0.338	0.652	
4	0.266	0.467	
5	0.381	0.651	
6	0.738	0.442	
7	0.885	1.246	
8	0.683	0.224	
9	0.250	0.654	
10	0.255	0.442	
11	0.198	0.347	
12	0.352	0.698	
13	0.285	0.803	
14	0.259	0.488	
15	0.200	0.281	
16	0.498	0.565	
17	0.262	0.402	
18	0.620	0.643	
19	0.300	0.351	
20	0.424	0.380	
21	0.478	0.434	
22	0.305	0.452	
23	0.281	0.745	
24	0.291	0.290	
25	0.453	0.790	
26	0.376	0.792	
27	0.328	0.613	
28	0.952	1.179	
29	0.355	0.636	
30	0.368	0.391	
