Organic	Mineral	Surface
22.74	8.50	10.83
14.90	5.50	11.94
17.90	3.02	15.76
11.40	7.31	15.03
29.80	4.85	15.77
14.86	3.91	8.74
18.30	4.71	12.40
5.30	7.45	10.96
27.10	16.92	14.53
15.91	11.97	6.40
5.20	9.29	9.20
15.72	7.66	10.30
16.51	11.33	19.78
15.35	4.60	12.04
11.90	7.85	14.19
20.46	21.00	8.12
6.51	11.72	10.48
9.72	7.11	20.56
14.00	8.50	16.82
16.87	9.11	13.89
8.81	10.89	7.60
19.80	11.80	12.88
7.40	17.99	17.93
15.42	4.80	10.70
5.29	8.79	8.69
14.86	10.30	6.30
17.50	8.05	19.01
22.49	21.40	14.28
20.46	4.90	16.00
8.09	9.60	10.46
10.30	11.56	6.68
	10.72	19.19
	8.37	13.11
	9.10	20.70
	12.57	16.23
	7.00	7.34
	21.82	13.14
	7.92	12.27
	7.90	13.70
	12.89	15.43
	3.99	9.52
	22.62	12.51
	17.90	16.47
	11.72	16.12
	9.81	
	3.79	
	10.74	
		
