Mark McGwire	Barry Bonds	
360	420	
410	410	
380	410	
370	436	
360	420	
430	375	
450	375	
385	396	
470	400	
410	410	
370	442	
440	417	
550	380	
480	420	
410	430	
470	410	
452	375	
369	370	
430	410	
420	435	
370	411	
410	404	
478	440	
390	430	
450	391	
440	410	
420	410	
460	347	
458	440	
380	380	
430	420	
380	365	
420	385	
430	410	
350	370	
400	416	
380	400	
390	450	
380	380	
400	400	
420	430	
360	420	
390	360	
388	390	
450	420	
390	440	
470	390	
510	320	
430	429	
440	405	
340	415	
350	488	
420	440	
423	417	
430	400	
510	410	
398	420	
500	430	
341	320	
377	430	
460	380	
527	361	
425	435	
410	420	
461	360	
430	415	
409	410	
450	380	
385	360	
370	350	
	375	
	394	
	454
