Years "Life Expectancy"
1960 69.8
1961 70.3
1962 70.1
1963 69.9
1964 70.2
1965 70.2
1966 70.2
1967 70.6
1968 70
1969 70.5
1970 70.8
1971 71.1
1972 71.2
1973 71.4
1974 72
1975 72.6
1976 72.9
1977 73.3
1978 73.4
1979 73.8
1980 73.6
1981 74
1982 74.4
1983 74.5
1984 74.6
1985 74.6
1986 74.6
1987 74.8
1988 74.8
1989 75
1990 75.2
1991 75.4
1992 75.6
1993 75.4
1994 75.6
1995 75.6
1996 76
1997 76.4
1998 76.6
1999 76.6
2000 76.6
2001 76.8
2002 76.9
2003 77
2004 77.5
2005 77.5
2006 77.7
2007 78
2008 78
2009 78.4
2010 78.5
2011 78.6
2012 78.7
2013 78.7
2014 78.8
2015 78.7
2016 78.7
