Consumer Industrial
36.36 25.09
16.8 73.78
53.34 34.16
33.73 32.32
14.01 35.69
26.33 38.44
40.33 28.64
23.04 53.26
21.7 22.1
16.98 30.58
17.33 23.43
30.44 38.42
22.95 20.32
22.16 24.99
19.11 40.61
13.61 48.72
25.83 18.22
73.57 19.69
13.92 33.38
72.71 39.96
15.96 23.46
16.86 83.41
24.55 24.89
29.38 31.32
18.48 20.57
22.54 26.66
13.11 24.82
28.57 55.73
19.69 25.79
13.92 12.11
12.25 7.77
40.62 9.99
17.71 28.08
10.94 23.87
43.01 31.08
28.46 32.05
27.42 14.58
39.72 21.26
17.26 27.21
11.37 34.45
29 26.9
22.4 1.03
13.47 14.6
20.63 26.22
25.66 15.63
14.99 11.67
16.79 17.58
18.32 22.01
21.24 4.24
13.99 8.88
20.49 21.03
11.36 20.11
17.68 1.18
16.85 32.91
15.38 12.24
12.32 11.88
7.29 7.46
-13.9 16.23
22.56 34.69
13.7 6.04
8.21 20.82
11.51 10.74
-11.39 3.49
13.33 3.24
12.94 22.93
13.55 -5.02
14.98 -5.31
11.62 13.51
23.02 2.29
12.54 21.92
12.74 11.58
10.6 7.73
8.34 10.93
13.99 14.56
10.63 2.36
20.44 1.16
20.82 13.13
14.54 6.93
7.53 8.41
18.42 21.57
13.53 15.58
13.76 12.49
14.08 27.18
11.52 12.03
31.1 10.21
15.13 ""
17.77 ""
-0.73 ""
-1.55 ""
8.17 ""
-17.94 ""
-15.3 ""
