"Job Titles" Department "Annual Salary"
"POLICE OFFICER" POLICE 87006
SERGEANT POLICE 104628
LIEUTENANT-EMT FIRE 114324
"STAFF ASST" LAW 76932
"PARAMEDIC I/C" FIRE 91080
LIEUTENANT FIRE 114846
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)" POLICE 91338
FIREFIGHTER FIRE 87006
"ACCOUNTANT IV" FINANCE 100776
SERGEANT POLICE 107988
"POLICE OFFICER" POLICE 48078
SERGEANT POLICE 104628
SERGEANT POLICE 107988
SERGEANT POLICE 107988
CAPTAIN POLICE 132876
CAPTAIN-EMT FIRE 136794
SERGEANT POLICE 104628
PARAMEDIC FIRE 87006
"POLICE OFFICER" POLICE 87006
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 76266
SERGEANT POLICE 107988
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"DIR OF NUTRITION" HEALTH 93876
CAPTAIN FIRE 128970
"DEPUTY COMMISSIONER" HEALTH 119772
"POLICE OFFICER" POLICE 93354
SERGEANT POLICE 104628
SERGEANT POLICE 107988
SERGEANT POLICE 101442
"CLERK IV" FIRE 70092
"POLICE OFFICER" POLICE 90024
FIREFIGHTER FIRE 87006
"INFORMATION COORD" "PUBLIC LIBRARY" 62820
CAPTAIN FIRE 128970
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 87006
SERGEANT POLICE 107988
"AIRPORT FACILITIES MANAGER" AVIATION 76716
SERGEANT POLICE 101442
"ENGINEERING TECHNICIAN V" TRANSPORTN 55644
"CIVIL ENGINEER IV" "WATER MGMNT" 110064
"EXEC ADMINISTRATIVE ASST II" "FAMILY & SUPPORT" 65820
"DEPUTY FIRE COMMISSIONER" FIRE 187680
"STAFF ASST TO THE ALDERMAN" "CITY COUNCIL" 50436
"FIRE ENGINEER-EMT" FIRE 103350
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 87006
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC" FIRE 102228
"POLICE OFFICER" POLICE 84054
FIREFIGHTER/PARAMEDIC FIRE 91272
"ENGINEERING TECHNICIAN VI" "WATER MGMNT" 111492
FIREFIGHTER-EMT FIRE 95484
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)" POLICE 91338
"POLICE OFFICER" POLICE 90024
"SENIOR PROGRAMMER/ANALYST" "FAMILY & SUPPORT" 110064
"CIVIL ENGINEER IV" "WATER MGMNT" 110064
"DETENTION AIDE" POLICE 61464
LIEUTENANT POLICE 127692
"POLICE OFFICER" POLICE 48078
"AMBULANCE COMMANDER" FIRE 128970
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 48078
"TRAFFIC SIGNAL REPAIRMAN" TRANSPORTN 101712
"PERSONAL COMPUTER OPERATOR III" HEALTH 70092
FIREFIGHTER-EMT FIRE 99324
"POLICE OFFICER" POLICE 90024
FIREFIGHTER-EMT FIRE 84870
"POLICE OFFICER" POLICE 72510
RECRUITER "HUMAN RESOURCES" 77304
"CIVIL ENGINEER II" "WATER MGMNT" 92388
"POLICE OFFICER" POLICE 76266
"CHIEF CONTRACT EXPEDITER" AVIATION 101592
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"DIVISION SUPERINTENDENT" "STREETS & SAN" 117660
"PRESS AIDE I" "MAYOR'S OFFICE" 66300
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 87006
FIREFIGHTER FIRE 97386
"PARAMEDIC FIELD CHIEF" FIRE 133188
LIEUTENANT-EMT FIRE 121818
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"POLICE OFFICER" POLICE 84054
FIREFIGHTER FIRE 93666
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"SENIOR PUBLIC INFORMATION OFFICER" "BUSINESS AFFAIRS" 93300
"POLICE OFFICER" POLICE 90024
ALDERMAN "CITY COUNCIL" 111888
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 90024
"SENIOR LIBRARY CLERK" "PUBLIC LIBRARY" 46152
