TEAM "Winning Percentage" Runs "Home Runs" "Team Batting Average" "Team On-Base %" "Stolen Base %" AB/HR DoublePlaysAgainst "Batting Average Against" "Team ERA"
Boston 0.667 876 208 0.268 0.339 80.13 27 131 0.237 3.75
"NY Yankees" 0.617 851 267 0.249 0.329 75 20.7 109 0.237 3.78
Cleveland 0.562 818 216 0.259 0.332 78.95 25.9 101 0.242 3.77
Oakland 0.599 813 227 0.252 0.325 62.5 24.6 136 0.236 3.81
"LA Dodgers" 0.564 804 235 0.25 0.333 75.76 23.7 121 0.23 3.38
Houston 0.636 797 205 0.255 0.329 73.2 26.6 158 0.217 3.11
Colorado 0.558 780 210 0.256 0.322 74.22 26.4 115 0.25 4.33
Washington 0.506 771 191 0.254 0.335 78.29 28.9 105 0.242 4.04
"Chicago Cubs" 0.583 761 167 0.258 0.333 63.46 33.7 109 0.24 3.65
Atlanta 0.556 759 175 0.257 0.324 71.43 31.9 100 0.229 3.75
"St. Louis" 0.543 759 205 0.249 0.321 66.32 26.8 95 0.246 3.85
Milwaukee 0.589 754 218 0.252 0.323 79.49 25.4 129 0.233 3.73
Minnesota 0.481 738 166 0.25 0.318 63.51 33.3 92 0.256 4.5
Texas 0.414 737 194 0.24 0.318 67.89 28.1 106 0.271 4.92
"LA Angels" 0.494 721 214 0.242 0.313 80.18 25.6 114 0.248 4.15
"Tampa Bay" 0.556 716 150 0.258 0.333 71.51 36.5 126 0.23 3.74
Toronto 0.451 709 217 0.244 0.312 61.04 25.2 118 0.265 4.85
Cincinnati 0.414 696 172 0.254 0.328 70 32.2 128 0.266 4.63
Arizona 0.506 693 176 0.235 0.31 75.96 31 112 0.239 3.72
Pittsburgh 0.509 692 157 0.254 0.317 64.81 34.7 122 0.251 4
Seattle 0.549 677 176 0.254 0.314 68.1 31.3 129 0.252 4.13
Philadelphia 0.494 677 186 0.234 0.314 72.63 29.2 104 0.249 4.14
"NY Mets" 0.475 676 170 0.234 0.312 64.55 32.2 119 0.246 4.07
"Chicago Sox" 0.383 656 182 0.241 0.302 70.5 30.3 101 0.254 4.83
"Kansas City" 0.358 638 155 0.245 0.305 75.48 35.5 123 0.275 4.94
Detroit 0.395 630 135 0.241 0.3 70 40.7 111 0.258 4.58
Baltimore 0.29 622 188 0.239 0.298 78.64 29.3 133 0.276 5.18
"San Diego" 0.407 617 162 0.235 0.297 72.52 33.9 122 0.256 4.4
"San Francisco" 0.451 603 133 0.239 0.3 69.37 41.7 113 0.251 3.95
Miami 0.391 589 128 0.237 0.303 59.21 42.9 121 0.254 4.76
