Year "Cisco Systems" "Walt Disney" "General Electric" "Exxon Mobil" FirstEnergy "Johnson & Johnson"
1999 1.31 -0.015 0.574 0.151 -0.266 0.125
2000 -0.286 -0.004 -0.055 0.127 0.478 0.143
2001 -0.527 -0.277 -0.151 -0.066 0.184 0.18
2002 -0.277 -0.203 -0.377 -0.089 -0.015 -0.079
2003 0.85 0.444 0.308 0.206 0.117 -0.021
2004 -0.203 0.202 0.207 0.281 0.166 0.252
2005 0.029 -0.129 -0.014 0.118 0.287 -0.033
2006 0.434 0.443 0.093 0.391 0.267 0.121
2007 0.044 -0.043 0.126 0.243 0.231 0.03
2008 -0.396 -0.306 -0.593 -0.193 -0.302 -0.066
2009 0.459 0.417 -0.102 -0.171 0.005 0.113
2010 -0.185 0.155 0.053 0.023 -0.156 -0.006
2011 -0.108 0.016 0.013 0.187 0.278 0.099
2012 0.116 0.348 0.216 0.047 -0.021 0.111
2013 0.167 0.553 0.378 0.201 -0.166 0.346
2014 0.242 0.269 -0.016 -0.025 0.338 0.163
2015 -0.07 0.066 0.26 -0.079 -0.146 0.074
2016 0.315 0.172 0.053 0.116 -0.042 0.115
2017 0.401 -0.003 -0.429 0.08 0.137 0.252
