Month Day Time "F Scale" Injuries Fatalities "Property Damage" Length Width
1 2 11:51:00 1 0 0 2500000 1.05 200
1 2 10:17:00 1 0 0 50000 1.2 50
1 2 13:45:00 1 0 0 0 0.08 75
1 2 14:44:00 0 0 0 0 0.01 5
1 2 11:30:00 0 0 0 75000 0.54 25
1 2 11:44:00 1 0 0 1000000 1.64 200
1 2 10:30:00 1 0 0 150000 2.74 100
1 2 10:30:00 1 0 0 20000 4.64 100
1 2 11:31:00 1 0 0 250000 1.4 100
1 2 11:47:00 1 0 0 1000000 2.84 200
1 2 11:06:00 1 0 0 50000 0.54 50
1 2 10:06:00 1 0 0 25000 0.3 20
1 21 17:12:00 2 1 0 825000 10.79 990
1 21 19:51:00 0 0 0 25000 1.24 150
1 21 17:23:00 2 0 0 75000 2.37 400
1 21 21:04:00 1 0 0 145000 8.87 300
1 21 17:55:00 1 0 0 10000 3.5 350
1 21 20:48:00 0 0 0 10000 0.62 50
1 21 20:29:00 0 0 0 90000 0.16 100
1 21 17:56:00 2 1 0 500000 2.04 300
1 21 19:00:00 1 1 0 250000 2.23 150
2 7 11:12:00 3 33 0 0 10.09 600
2 7 12:20:00 1 0 0 0 0.26 50
2 7 10:51:00 0 0 0 0 0.95 25
2 7 11:50:00 3 3 0 0 6.43 350
2 7 10:20:00 2 3 0 0 23.08 500
2 7 11:04:00 1 0 1 0 6.13 75
3 24 21:35:00 1 0 0 60000 1.46 110
3 24 22:00:00 1 0 0 70000 8.51 2464
3 24 22:54:00 1 0 0 15000 6.9 100
3 24 21:05:00 1 0 0 100000 2.07 220
3 24 22:49:00 1 0 0 3000 1.23 350
3 29 19:11:00 2 0 0 125000 3.57 100
4 2 16:41:00 0 0 0 2000 1.4 100
4 2 8:47:00 1 0 2 15000 0.8 20
4 2 16:09:00 2 2 0 300000 5.83 616
4 2 15:48:00 1 0 0 75000 3.69 300
4 2 14:54:00 1 0 0 0 4.1 1108
4 2 15:22:00 2 1 0 525000 13.77 880
4 2 14:52:00 2 0 0 1000000 13.66 2252
4 2 13:53:00 2 0 0 100000 5.55 1636
4 2 14:20:00 0 0 0 0 0.1 10
4 2 13:32:00 1 0 0 5000 7.29 50
4 2 15:17:00 1 0 0 85000 13.19 1232
4 2 15:49:00 1 0 0 220000 3.78 880
4 2 15:57:00 1 0 0 150000 0.99 600
4 2 14:07:00 1 0 0 50000 9.83 370
4 2 14:05:00 1 0 0 750000 5.41 500
4 2 15:12:00 1 0 0 70000 4.43 1108
4 2 8:04:00 1 0 0 5000 0.06 10
4 2 15:18:00 2 0 0 600000 1.09 440
4 2 15:17:00 0 0 0 0 0 0
4 2 13:50:00 2 0 0 250000 6.11 800
4 3 3:03:00 1 0 0 0 1.2 50
4 3 3:14:00 1 0 0 0 1.76 100
4 29 13:24:00 1 0 0 200000 1.96 290
4 30 2:07:00 1 0 0 50000 6.87 1760
4 30 6:13:00 1 0 0 100000 9.24 440
4 30 3:44:00 1 0 0 100000 5.71 50
4 30 12:50:00 0 0 0 0 0.3 40
4 30 12:15:00 1 0 0 0 0.9 50
4 30 6:13:00 1 0 0 50000 7.3 200
4 30 3:20:00 1 0 0 110000 0.63 95
5 11 19:31:00 1 0 0 0 0.76 110
5 11 19:15:00 1 0 0 10000 2.32 215
5 12 15:35:00 0 0 0 0 0.54 20
5 12 3:06:00 1 0 0 15000 3.04 267
5 12 8:01:00 0 0 0 10000 0.14 40
5 12 8:01:00 1 1 0 0 0.6 30
5 12 10:13:00 0 0 0 0 0.2 25
5 28 19:07:00 1 0 0 0 0.09 135
5 28 18:50:00 1 0 0 0 1.13 564
5 28 18:52:00 1 0 0 0 0.12 127
5 30 15:39:00 0 0 0 0 0.25 75
5 30 13:36:00 -9 0 0 0 0.25 50
7 15 12:14:00 0 0 0 0 0.05 10
7 19 16:30:00 0 0 0 0 0.67 10
8 26 11:22:00 0 0 0 7000 1.66 25
8 27 13:35:00 0 0 0 0 0.15 25
8 27 13:15:00 0 0 0 5000 0.21 25
8 28 3:39:00 0 0 0 15000 0.28 25
8 29 16:09:00 2 0 0 200000 2.18 175
8 29 16:00:00 0 0 0 0 0.02 25
8 29 16:34:00 0 0 0 0 0.14 25
12 20 1:02:00 1 0 0 75000 0.95 110
12 20 1:59:00 1 0 0 15000 3.05 600
12 20 2:17:00 1 0 0 250000 4.7 600
