DISTANCE "ONE PUTT" "TWO PUTT" "THREE PUTTS-Plus" "EXPECTED PUTTS AVG."
2 99.3 0.6 0.1 1.009
3 94.8 5 0.2 1.053
4 85.8 14 0.2 1.147
5 74.7 25 0.3 1.256
6 64.7 35 0.3 1.357
7 55.6 44 0.4 1.443
8 48.5 51 0.5 1.515
9 43.4 56 0.6 1.575
10 38.3 61 0.7 1.626
11 34.2 65 0.8 1.669
12 30.1 69 0.9 1.705
13 27 72 1 1.737
14 25 74 1 1.765
15 22 77 1 1.79
16 20 78 1 1.811
17 19 80 2 1.83
18 17 81 2 1.848
19 16 83 2 1.863
20 14 84 2 1.878
21 13 85 2 1.891
22 12 85 3 1.903
23 11 86 3 1.914
24 11 86 3 1.924
25 10 87 3 1.934
26 9 87 4 1.944
27 9 88 4 1.953
28 8 88 4 1.961
29 8 88 5 1.97
30 7 88 5 1.978
31 7 88 5 1.993
32 6 88 6 1.993
33 6 88 6 2.001
34 6 88 7 2.009
35 5 88 7 2.016
36 5 87 8 2.024
37 5 87 8 2.032
38 5 87 9 2.039
39 4 87 9 2.047
40 4 86 10 2.055
41 4 86 10 2.062
42 4 85 11 2.07
43 4 85 12 2.078
44 4 84 12 2.086
45 3 84 13 2.094
46 3 83 14 2.102
47 3 83 14 2.11
48 3 82 15 2.118
49 3 82 16 2.127
50 3 81 16 2.135
51 3 80 17 2.143
52 3 80 18 2.152
53 3 79 19 2.16
54 2 78 19 2.168
55 2 78 20 2.177
56 2 77 21 2.185
57 2 76 22 2.193
58 2 76 22 2.202
59 2 75 23 2.21
60 2 74 24 2.218
61 2 74 25 2.226
62 2 73 25 2.234
63 2 72 26 2.242
64 2 72 27 2.25
65 2 71 27 2.257
66 2 70 28 2.265
67 2 70 29 2.272
68 2 69 30 2.279
69 2 68 30 2.286
70 2 68 31 2.293
71 1 67 31 2.299
72 1 67 32 2.306
73 1 66 33 2.312
74 1 66 33 2.318
75 1 65 34 2.324
76 1 65 34 2.329
77 1 64 35 2.334
78 1 64 35 2.339
79 1 63 36 2.344
80 1 63 36 2.349
81 1 63 36 2.353
82 1 62 37 2.357
83 1 63 37 2.361
84 1 63 37 2.364
85 1 61 38 2.367
86 1 61 38 2.37
87 1 61 38 2.373
88 1 60 39 2.375
89 1 60 39 2.377
90 1 60 39 2.379
91 1 60 39 2.381
92 1 60 39 2.382
93 1 60 39 2.383
94 1 60 39 2.384
95 1 60 39 2.384
96 1 60 39 2.384
97 1 60 39 2.384
98 1 60 39 2.383
99 1 60 39 2.383
100 1 60 39 2.382
