Father Mother Son Bin Bin(Father) Son_Mean Midpoint Raw_Mean Father_Height Son_Height
78.5 67 73.2 "78 to 79" "62 to 63" 65.25 62.5 Raw 78.5 73.2
75.5 66.5 73.5 "75 to 76" "64 to 65" 68.08333333333333 64.5 Raw 75.5 73.5
75.5 66.5 72.5 "75 to 76" "65 to 66" 67.8375 65.5 Raw 75.5 72.5
75 64 71 "75 to 76" "66 to 67" 67.48918918918919 66.5 Raw 75 71
75 64 70.5 "75 to 76" "67 to 68" 69.11935483870967 67.5 Raw 75 70.5
75 64 68.5 "75 to 76" "68 to 69" 68.0627906976744 68.5 Raw 75 68.5
75 58.5 72 "75 to 76" "69 to 70" 69.66410256410255 69.5 Raw 75 72
75 58.5 69 "75 to 76" "70 to 71" 69.46666666666665 70.5 Raw 75 69
75 58.5 68 "75 to 76" "71 to 72" 70.34912280701755 71.5 Raw 75 68
74 68 76.5 "74 to 75" "72 to 73" 71.04230769230769 72.5 Raw 74 76.5
74 68 74 "74 to 75" "73 to 74" 69.96923076923078 73.5 Raw 74 74
74 68 73 "74 to 75" "74 to 75" 73.41666666666667 74.5 Raw 74 73
74 68 73 "74 to 75" "75 to 76" 70.625 75.5 Raw 74 73
74 62 74 "74 to 75" "78 to 79" 73.2 77.5 Raw 74 74
74 62 70 "74 to 75" "" "" "" Raw 74 70
73 67 68 "73 to 74" "" "" "" Raw 73 68
73 67 67 "73 to 74" "" "" "" Raw 73 67
73 66.5 71 "73 to 74" "" "" "" Raw 73 71
73 66.5 70.5 "73 to 74" "" "" "" Raw 73 70.5
73 65 72 "73 to 74" "" "" "" Raw 73 72
73 65 70.5 "73 to 74" "" "" "" Raw 73 70.5
73 65 70.2 "73 to 74" "" "" "" Raw 73 70.2
73 65 70.2 "73 to 74" "" "" "" Raw 73 70.2
73 65 69.2 "73 to 74" "" "" "" Raw 73 69.2
73 64.5 74 "73 to 74" "" "" "" Raw 73 74
73 64.5 73 "73 to 74" "" "" "" Raw 73 73
73 64.5 71.5 "73 to 74" "" "" "" Raw 73 71.5
73 64.5 62.5 "73 to 74" "" "" "" Raw 73 62.5
72.7 69 73.2 "72 to 73" "" "" "" Raw 72.7 73.2
72.7 69 73 "72 to 73" "" "" "" Raw 72.7 73
72.7 69 72.7 "72 to 73" "" "" "" Raw 72.7 72.7
72 68 73 "72 to 73" "" "" "" Raw 72 73
72 67 73 "72 to 73" "" "" "" Raw 72 73
72 67 71 "72 to 73" "" "" "" Raw 72 71
72 65 74.2 "72 to 73" "" "" "" Raw 72 74.2
72 65 70.5 "72 to 73" "" "" "" Raw 72 70.5
72 65 69.5 "72 to 73" "" "" "" Raw 72 69.5
72 63 70.5 "72 to 73" "" "" "" Raw 72 70.5
72 63 70.5 "72 to 73" "" "" "" Raw 72 70.5
72 63 69 "72 to 73" "" "" "" Raw 72 69
72 63 69 "72 to 73" "" "" "" Raw 72 69
72 63 67 "72 to 73" "" "" "" Raw 72 67
72 63 73 "72 to 73" "" "" "" Raw 72 73
72 63 67 "72 to 73" "" "" "" Raw 72 67
72.5 62 71 "72 to 73" "" "" "" Raw 72.5 71
72.5 62 70 "72 to 73" "" "" "" Raw 72.5 70
72.5 62 70 "72 to 73" "" "" "" Raw 72.5 70
72 62 74 "72 to 73" "" "" "" Raw 72 74
72 62 72 "72 to 73" "" "" "" Raw 72 72
72 62 69 "72 to 73" "" "" "" Raw 72 69
72 62 72 "72 to 73" "" "" "" Raw 72 72
72 62 71.5 "72 to 73" "" "" "" Raw 72 71.5
72 62 71.5 "72 to 73" "" "" "" Raw 72 71.5
72 62 70 "72 to 73" "" "" "" Raw 72 70
71 69 78 "71 to 72" "" "" "" Raw 71 78
71 69 74 "71 to 72" "" "" "" Raw 71 74
71 69 73 "71 to 72" "" "" "" Raw 71 73
71 69 72 "71 to 72" "" "" "" Raw 71 72
71 67 73.2 "71 to 72" "" "" "" Raw 71 73.2
71 67 73 "71 to 72" "" "" "" Raw 71 73
71 67 69 "71 to 72" "" "" "" Raw 71 69
71 66 70 "71 to 72" "" "" "" Raw 71 70
71 66 70 "71 to 72" "" "" "" Raw 71 70
71 66 69 "71 to 72" "" "" "" Raw 71 69
71 66 68.5 "71 to 72" "" "" "" Raw 71 68.5
71 66 71 "71 to 72" "" "" "" Raw 71 71
71 66 76 "71 to 72" "" "" "" Raw 71 76
71 66 72 "71 to 72" "" "" "" Raw 71 72
71 66 71 "71 to 72" "" "" "" Raw 71 71
71 66 66 "71 to 72" "" "" "" Raw 71 66
71.7 65.5 70.5 "71 to 72" "" "" "" Raw 71.7 70.5
71 65.5 72 "71 to 72" "" "" "" Raw 71 72
71 65.5 72 "71 to 72" "" "" "" Raw 71 72
71 65.5 71 "71 to 72" "" "" "" Raw 71 71
71 65.5 69 "71 to 72" "" "" "" Raw 71 69
71.5 65.5 73 "71 to 72" "" "" "" Raw 71.5 73
71.5 65 68.5 "71 to 72" "" "" "" Raw 71.5 68.5
71.5 65 67.7 "71 to 72" "" "" "" Raw 71.5 67.7
71 65 68 "71 to 72" "" "" "" Raw 71 68
71 65 68 "71 to 72" "" "" "" Raw 71 68
71.7 64.5 72 "71 to 72" "" "" "" Raw 71.7 72
71.7 64.5 71 "71 to 72" "" "" "" Raw 71.7 71
71.7 64.5 70.5 "71 to 72" "" "" "" Raw 71.7 70.5
71 64 68 "71 to 72" "" "" "" Raw 71 68
71 64 68 "71 to 72" "" "" "" Raw 71 68
71 64 68 "71 to 72" "" "" "" Raw 71 68
71.5 64.5 72 "71 to 72" "" "" "" Raw 71.5 72
71.5 64.5 71 "71 to 72" "" "" "" Raw 71.5 71
71.5 64.5 70 "71 to 72" "" "" "" Raw 71.5 70
71 63.5 71 "71 to 72" "" "" "" Raw 71 71
71 63.5 67 "71 to 72" "" "" "" Raw 71 67
71 63 71 "71 to 72" "" "" "" Raw 71 71
71 63 70 "71 to 72" "" "" "" Raw 71 70
71 63 70 "71 to 72" "" "" "" Raw 71 70
71 63 64 "71 to 72" "" "" "" Raw 71 64
71 63 71 "71 to 72" "" "" "" Raw 71 71
71 63 71 "71 to 72" "" "" "" Raw 71 71
71 63 70 "71 to 72" "" "" "" Raw 71 70
71 62 71 "71 to 72" "" "" "" Raw 71 71
