Day Train "Aggregate Train" "Aggregate Proportion Train"
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 1 1 0.16666666666666666
7 0 1 0.14285714285714285
8 0 1 0.125
9 1 2 0.2222222222222222
10 0 2 0.2
11 0 2 0.18181818181818182
12 0 2 0.16666666666666666
13 1 3 0.23076923076923078
14 1 4 0.2857142857142857
15 0 4 0.26666666666666666
16 0 4 0.25
17 0 4 0.23529411764705882
18 0 4 0.2222222222222222
19 1 5 0.2631578947368421
20 0 5 0.25
21 1 6 0.2857142857142857
22 0 6 0.2727272727272727
23 1 7 0.30434782608695654
24 0 7 0.2916666666666667
25 0 7 0.28
26 0 7 0.2692307692307692
27 0 7 0.25925925925925924
28 0 7 0.25
29 0 7 0.2413793103448276
30 0 7 0.23333333333333334
31 0 7 0.22580645161290322
32 0 7 0.21875
33 0 7 0.21212121212121213
34 0 7 0.20588235294117646
35 0 7 0.2
36 0 7 0.19444444444444445
37 0 7 0.1891891891891892
38 0 7 0.18421052631578946
39 0 7 0.1794871794871795
40 0 7 0.175
41 0 7 0.17073170731707318
42 0 7 0.16666666666666666
43 0 7 0.16279069767441862
44 0 7 0.1590909090909091
45 0 7 0.15555555555555556
46 0 7 0.15217391304347827
47 0 7 0.14893617021276595
48 1 8 0.16666666666666666
49 0 8 0.16326530612244897
50 1 9 0.18
51 0 9 0.17647058823529413
52 0 9 0.17307692307692307
53 0 9 0.16981132075471697
54 1 10 0.18518518518518517
55 0 10 0.18181818181818182
56 0 10 0.17857142857142858
57 1 11 0.19298245614035087
58 0 11 0.1896551724137931
59 0 11 0.1864406779661017
60 0 11 0.18333333333333332
61 0 11 0.18032786885245902
62 0 11 0.1774193548387097
63 1 12 0.19047619047619047
64 0 12 0.1875
65 0 12 0.18461538461538463
66 0 12 0.18181818181818182
67 0 12 0.1791044776119403
68 0 12 0.17647058823529413
69 0 12 0.17391304347826086
70 0 12 0.17142857142857143
71 0 12 0.16901408450704225
72 0 12 0.16666666666666666
73 0 12 0.1643835616438356
74 0 12 0.16216216216216217
75 1 13 0.17333333333333334
