Day "Red Light" "Aggregate Red Light"
1 1 1
2 0 1
3 0 1
4 1 2
5 1 3
6 0 3
7 1 4
8 1 5
9 0 5
10 1 6
11 1 7
12 0 7
13 0 7
14 0 7
15 1 8
16 1 9
17 0 9
18 1 10
19 1 11
20 1 12
21 0 12
22 1 13
23 0 13
24 0 13
25 0 13
26 0 13
27 1 14
28 1 15
29 1 16
30 0 16
31 0 16
32 0 16
33 0 16
34 0 16
35 0 16
36 1 17
37 1 18
38 0 18
39 0 18
40 0 18
41 1 19
42 1 20
43 1 21
44 0 21
45 0 21
46 0 21
47 1 22
48 0 22
49 0 22
50 1 23
51 0 23
52 0 23
53 0 23
54 0 23
55 0 23
56 1 24
57 0 24
58 1 25
59 0 25
60 1 26
61 0 26
62 1 27
63 0 27
64 0 27
65 0 27
66 1 28
67 1 29
68 1 30
69 0 30
70 1 31
71 0 31
72 1 32
73 1 33
74 0 33
75 1 34
76 1 35
77 0 35
78 1 36
79 1 37
80 0 37
81 0 37
82 0 37
83 1 38
84 0 38
85 0 38
86 0 38
87 0 38
88 0 38
89 0 38
90 0 38
91 0 38
92 0 38
93 0 38
94 1 39
95 0 39
96 0 39
97 0 39
98 1 40
99 1 41
100 1 42
101 0 42
102 0 42
103 0 42
104 1 43
105 1 44
106 0 44
107 1 45
108 0 45
109 0 45
110 0 45
111 1 46
112 1 47
113 1 48
114 1 49
115 0 49
116 0 49
117 0 49
118 0 49
119 0 49
120 0 49
