Player	Pos	Class	Weight	40 YD	Vertical	Bench	Shuttle	Cone	20 YD	var0
Ameer Abdullah	RB	Sr	205	4.6	42	24	3.95	6.79	2.68	
Nelson Agholor	WR	Jr	198	4.42	0	12	0	0	2.59	
Jay Ajayi	RB	rJr	221	4.57	39	19	4.1	7.1	2.66	
Kwon Alexander	OLB	Jr	227	4.55	36	24	4.2	7.14	2.68	
Mario Alford	WR	Sr	180	4.43	34	13	4.07	6.64	2.64	
Javorius Allen	RB	rJr	221	4.53	35	11	4.28	6.96	2.64	
Adrian Amos	S	Sr	218	4.56	35	0	4.03	7.09	2.65	
Henry Anderson	DE	rSr	294	4.97	30	0	4.19	7.2	2.9	
Stephone Anthony	ILB	Sr	243	4.56	37	23	4.03	7.07	2.63	
Arik Armstead	DT	Jr	292	5.1	34	24	4.53	7.57	2.92	
Cameron Artis-Payne	RB	Sr	212	4.53	36	0	0	7.13	2.67	
Tavaris Barnes	DE	rSr	282	4.8	0	22	0	0	2.79	
Vic Beasley	OLB	rSr	246	4.53	41	35	4.15	6.91	2.65	
Blake Bell	TE	rSr	252	4.8	33	14	4.32	6.85	2.85	
Kenny Bell	WR	rSr	197	4.42	41	7	4.15	6.66	2.59	
Bryan Bennett	QB	rSr	211	4.81	37	0	4.2	7.13	2.79	
Angelo Blackson	DT	Sr	318	5.02	31	20	4.57	7.5	2.93	
Al Bond	OG	rSr	303	5.57	23	22	4.65	7.9	3.24	
Anthony Boone	QB	rSr	231	5.03	26	0	4.62	7.47	2.91	
Brett Boyko	OG	Sr	301	5.6	25	0	4.75	7.91	3.24	
Nick Boyle	TE	Sr	268	5.04	30	20	4.23	7.13	2.98	
Brandon Bridge	QB	rSr	229	4.72	33	0	4.37	7.18	2.79	
DaRon Brown	WR	rSr	205	4.54	37	17	4.11	7.04	2.62	
Malcolm Brown	RB	Sr	224	4.62	34	19	4.15	6.86	2.71	
Malcom Brown	DT	Jr	319	5.05	29	26	4.59	7.84	2.94	
Trenton Brown	OT	Sr	355	5.29	23	20	4.78	8.23	3.08	
Michael Burton	FB	rSr	242	4.74	33	25	4.34	7.2	2.75	
Shane Carden	QB	Sr	218	4.94	29	0	4.45	7.17	2.88	
Joe Cardona	LS	rSr	242	4.91	33	30	0	0	2.85	
Alex Carter	CB	Jr	196	4.51	40	17	4.07	7.05	2.64	
B.J. Catalon	RB	Jr	186	4.57	36	0	4.15	6.9	2.74	
Donald Celiscar	CB	Sr	194	4.62	0	0	0	0	2.71	
Anthony Chickillo	DE	Sr	267	4.79	34	27	4.25	7.17	2.77	
Gerald Christian	TE	rSr	244	4.87	0	28	4.7	7.62	2.84	
