Sequence Outcome "Cumulative Wins"
1 lose 0
2 win 1
3 win 2
4 win 3
5 win 4
6 lose 4
7 lose 4
8 win 5
9 win 6
10 lose 6
11 win 7
12 lose 7
13 win 8
14 win 9
15 lose 9
16 lose 9
17 win 10
18 lose 10
19 win 11
20 lose 11
21 win 12
22 lose 12
23 win 13
24 win 14
25 lose 14
26 lose 14
27 lose 14
28 lose 14
29 lose 14
30 lose 14
31 lose 14
32 win 15
33 lose 15
34 lose 15
35 lose 15
36 lose 15
37 lose 15
38 lose 15
39 lose 15
40 lose 15
41 win 16
42 win 17
43 lose 17
44 win 18
45 lose 18
46 win 19
47 win 20
48 lose 20
49 win 21
50 lose 21
51 lose 21
52 win 22
53 win 23
54 lose 23
55 win 24
56 lose 24
57 lose 24
58 lose 24
59 lose 24
60 lose 24
61 lose 24
62 lose 24
63 win 25
64 lose 25
65 lose 25
66 lose 25
67 win 26
68 lose 26
69 lose 26
70 win 27
71 lose 27
72 lose 27
73 lose 27
74 lose 27
75 lose 27
76 lose 27
77 lose 27
78 lose 27
79 lose 27
80 win 28
81 win 29
82 win 30
83 lose 30
84 lose 30
85 win 31
86 win 32
87 lose 32
88 lose 32
89 lose 32
90 win 33
91 lose 33
92 lose 33
93 lose 33
94 win 34
95 lose 34
96 lose 34
97 lose 34
98 lose 34
99 lose 34
100 win 35
101 lose 35
102 lose 35
103 lose 35
104 lose 35
105 lose 35
106 lose 35
107 lose 35
108 lose 35
109 lose 35
110 lose 35
111 win 36
112 win 37
113 lose 37
114 lose 37
115 win 38
116 win 39
117 win 40
118 lose 40
119 win 41
120 win 42
121 lose 42
122 lose 42
123 lose 42
124 win 43
125 lose 43
126 win 44
127 win 45
128 lose 45
129 lose 45
130 win 46
131 win 47
132 lose 47
133 win 48
134 lose 48
135 lose 48
136 lose 48
137 lose 48
138 lose 48
139 win 49
140 lose 49
141 win 50
142 win 51
143 win 52
144 lose 52
145 lose 52
146 lose 52
147 lose 52
148 win 53
149 win 54
150 lose 54
151 lose 54
152 lose 54
153 lose 54
154 lose 54
155 win 55
156 lose 55
157 lose 55
158 win 56
159 lose 56
160 lose 56
161 win 57
162 lose 57
163 lose 57
164 lose 57
165 win 58
166 lose 58
167 lose 58
168 lose 58
169 lose 58
170 lose 58
171 lose 58
172 lose 58
173 lose 58
174 win 59
175 lose 59
176 win 60
177 lose 60
178 win 61
179 lose 61
180 lose 61
181 lose 61
182 lose 61
183 win 62
184 lose 62
185 lose 62
186 lose 62
187 win 63
188 lose 63
189 lose 63
190 win 64
191 win 65
192 lose 65
193 lose 65
194 lose 65
195 lose 65
196 win 66
197 lose 66
198 lose 66
199 lose 66
200 lose 66
201 win 67
202 win 68
203 win 69
204 lose 69
205 lose 69
206 lose 69
207 lose 69
208 lose 69
209 lose 69
210 lose 69
211 lose 69
212 lose 69
213 win 70
214 lose 70
215 win 71
216 lose 71
217 win 72
218 lose 72
219 win 73
220 win 74
221 win 75
222 lose 75
223 lose 75
224 lose 75
225 win 76
226 lose 76
227 lose 76
228 lose 76
229 lose 76
230 win 77
231 lose 77
232 lose 77
233 lose 77
234 lose 77
235 lose 77
236 lose 77
237 win 78
238 win 79
239 lose 79
240 win 80
241 win 81
242 lose 81
243 lose 81
244 lose 81
245 win 82
246 lose 82
247 lose 82
248 lose 82
249 win 83
250 win 84
251 win 85
252 lose 85
253 win 86
254 lose 86
255 lose 86
256 win 87
257 win 88
258 lose 88
259 lose 88
260 win 89
261 lose 89
262 lose 89
263 lose 89
264 win 90
265 win 91
266 lose 91
267 win 92
268 lose 92
269 lose 92
270 lose 92
271 win 93
272 win 94
273 lose 94
274 lose 94
275 win 95
276 win 96
277 lose 96
278 lose 96
279 lose 96
280 lose 96
281 lose 96
282 win 97
283 lose 97
284 lose 97
285 lose 97
286 lose 97
287 lose 97
288 win 98
289 lose 98
290 win 99
291 lose 99
292 lose 99
293 win 100
294 lose 100
295 lose 100
296 lose 100
297 lose 100
298 lose 100
299 win 101
300 win 102
301 lose 102
302 lose 102
303 lose 102
304 lose 102
305 lose 102
306 win 103
307 win 104
308 lose 104
309 lose 104
310 lose 104
311 lose 104
312 lose 104
313 win 105
314 lose 105
315 lose 105
316 lose 105
317 lose 105
318 lose 105
319 lose 105
320 lose 105
321 win 106
322 lose 106
