Game Result "Cumulative Number of Wins"
1 Win 1
2 Win 2
3 Win 3
4 Win 4
5 Loss 4
6 Loss 4
7 Win 5
8 Win 6
9 Win 7
10 Win 8
11 Win 9
12 Win 10
13 Win 11
14 Loss 11
15 Win 12
16 Loss 12
17 Win 13
18 Win 14
19 Win 15
20 Win 16
21 Win 17
22 Win 18
23 Loss 18
24 Loss 18
25 Win 19
26 Loss 19
27 Win 20
28 Loss 20
29 Win 21
30 Win 22
31 Win 23
32 Win 24
33 Win 25
34 Loss 25
35 Win 26
36 Win 27
37 Win 28
38 Win 29
39 Win 30
40 Win 31
41 Win 32
42 Win 33
43 Loss 33
44 Loss 33
45 Loss 33
46 Win 34
47 Loss 34
48 Loss 34
49 Win 35
50 Win 36
51 Loss 36
52 Win 37
53 Loss 37
54 Win 38
55 Loss 38
56 Win 39
57 Win 40
58 Loss 40
59 Win 41
60 Win 42
61 Loss 42
62 Win 43
63 Win 44
64 Loss 44
65 Win 45
66 Loss 45
67 Loss 45
68 Loss 45
69 Loss 45
70 Win 46
71 Win 47
72 Win 48
73 Loss 48
74 Win 49
75 Win 50
76 Loss 50
77 Win 51
78 Win 52
79 Win 53
80 Win 54
81 Win 55
82 Loss 55
83 Win 56
84 Win 57
85 Win 58
86 Loss 58
87 Win 59
88 Win 60
89 Loss 60
90 Win 61
91 Loss 61
92 Win 62
93 Win 63
94 Loss 63
95 Loss 63
96 Win 64
97 Win 65
98 Win 66
99 Win 67
100 Win 68
101 Win 69
102 Win 70
103 Win 71
104 Win 72
105 Win 73
106 Loss 73
107 Win 74
108 Win 75
109 Win 76
110 Win 77
111 Win 78
112 Loss 78
113 Win 79
114 Win 80
115 Loss 80
116 Win 81
117 Win 82
118 Loss 82
119 Win 83
120 Win 84
121 Win 85
122 Win 86
123 Win 87
124 Win 88
125 Win 89
126 Win 90
127 Win 91
128 Loss 91
129 Win 92
130 Win 93
131 Win 94
132 Loss 94
133 Loss 94
134 Win 95
135 Win 96
136 Win 97
137 Loss 97
138 Win 98
139 Loss 98
140 Win 99
141 Loss 99
142 Loss 99
143 Loss 99
144 Win 100
145 Win 101
146 Win 102
147 Win 103
148 Win 104
149 Win 105
150 Loss 105
151 Win 106
152 Win 107
153 Loss 107
154 Win 108
155 Win 109
156 Loss 109
157 Win 110
158 Win 111
159 Win 112
160 Win 113
161 Win 114
162 Win 115
163 Loss 115
164 Win 116
165 Loss 116
166 Win 117
167 Loss 117
168 Win 118
169 Loss 118
170 Loss 118
171 Win 119
172 Win 120
173 Win 121
174 Win 122
175 Win 123
176 Loss 123
177 Loss 123
178 Win 124
179 Loss 124
180 Win 125
181 Win 126
182 Win 127
183 Win 128
184 Win 129
185 Loss 129
186 Win 130
187 Loss 130
188 Win 131
189 Loss 131
190 Win 132
191 Loss 132
192 Win 133
193 Win 134
194 Loss 134
195 Win 135
196 Win 136
197 Win 137
198 Loss 137
199 Loss 137
200 Win 138
