Bday1 Bday2 Bday3 Bday4 Bday5 Bday6 Bday7 Bday8 Bday9 Bday10 Bday11 Bday12 Bday13 Bday14 Bday15 "Same Birthday"
192 274 160 359 179 207 60 134 78 187 237 147 275 255 25 "No Match"
299 176 36 64 314 191 115 263 50 152 163 258 301 54 108 "No Match"
32 215 195 74 314 32 27 346 27 137 236 313 173 280 46 Match
289 271 169 223 91 334 250 83 321 254 191 19 324 221 299 "No Match"
298 133 135 12 147 67 200 349 350 5 108 190 271 62 362 "No Match"
160 258 224 13 121 329 277 29 282 16 348 357 211 278 232 "No Match"
267 293 147 31 61 11 163 321 295 8 348 357 266 151 45 "No Match"
332 30 48 75 299 333 335 298 73 126 96 280 195 62 97 "No Match"
271 176 113 95 217 229 195 59 306 72 356 306 66 348 169 Match
285 122 145 174 235 32 249 201 227 74 193 123 153 72 97 "No Match"
201 272 4 177 27 284 360 297 140 63 108 303 49 54 260 "No Match"
41 22 211 79 38 361 118 110 345 56 278 226 232 312 187 "No Match"
335 68 191 227 16 17 141 46 169 193 77 348 212 38 196 "No Match"
33 43 135 295 99 20 171 142 307 198 172 161 236 84 311 "No Match"
196 323 111 45 258 283 261 325 346 54 240 319 270 15 268 "No Match"
240 85 23 31 93 223 123 301 269 26 80 9 316 251 34 "No Match"
5 247 214 265 316 123 319 150 328 44 181 329 175 166 342 "No Match"
54 358 31 89 257 272 84 67 124 261 59 345 104 341 271 "No Match"
360 193 130 333 72 29 224 124 222 323 25 292 283 23 147 "No Match"
294 327 107 126 48 184 63 277 312 32 67 13 275 268 265 "No Match"
349 182 320 311 29 345 132 214 13 35 340 112 143 210 101 "No Match"
285 285 358 341 176 120 215 134 113 60 129 193 49 357 283 Match
9 235 272 47 336 320 256 130 138 66 139 37 104 4 292 "No Match"
77 147 322 186 301 39 157 271 333 292 115 177 187 306 74 "No Match"
313 98 152 34 136 166 165 79 54 2 263 78 73 1 136 Match
12 101 156 111 38 347 174 132 334 230 271 294 86 325 227 "No Match"
48 359 198 190 351 206 359 57 218 266 65 38 182 183 262 Match
270 345 134 198 322 271 177 196 167 364 58 97 9 210 208 "No Match"
270 32 52 294 331 14 127 132 291 135 221 242 49 316 279 "No Match"
285 55 134 216 250 282 292 37 354 72 241 317 197 52 175 "No Match"
144 106 256 40 219 61 14 358 223 260 200 61 264 287 238 Match
234 278 257 327 37 173 231 258 154 50 338 230 338 140 194 Match
200 359 25 261 237 92 127 14 180 286 247 169 277 117 313 "No Match"
348 51 237 223 158 131 14 32 238 352 333 219 333 24 70 Match
215 214 298 257 290 23 84 25 264 7 281 36 273 141 340 "No Match"
104 356 161 107 63 302 57 106 235 356 170 276 12 28 121 Match
2 14 344 123 296 268 26 72 257 78 71 284 204 151 116 "No Match"
220 232 138 41 85 292 39 88 234 246 65 16 280 2 56 "No Match"
85 298 213 145 1 125 318 312 257 98 59 23 15 313 103 "No Match"
342 191 26 262 214 312 296 339 333 281 319 10 188 67 176 "No Match"
88 41 104 223 112 277 121 73 51 129 101 146 24 106 212 "No Match"
171 112 307 99 357 33 18 60 66 309 168 162 333 80 193 "No Match"
98 125 146 197 276 95 287 329 120 90 224 172 95 51 104 Match
82 313 72 118 181 88 144 63 87 276 168 260 207 305 52 "No Match"
123 97 354 316 137 267 288 310 167 83 235 322 227 311 251 "No Match"
296 203 317 64 153 224 149 240 356 111 173 276 164 151 240 Match
1 40 350 1 309 213 32 127 275 158 201 227 303 122 212 Match
117 144 192 72 197 142 130 321 108 329 4 8 175 48 1 "No Match"
59 115 265 192 269 28 289 163 276 140 278 329 76 104 276 Match
235 345 247 137 243 301 128 187 337 37 12 263 283 345 258 Match
153 151 278 248 26 304 59 321 268 263 141 53 217 303 271 "No Match"
357 334 309 73 275 255 254 346 90 21 204 263 131 74 349 "No Match"
50 41 75 76 347 38 364 158 179 126 30 185 347 34 284 Match
233 314 202 292 219 161 310 351 27 84 274 302 22 13 323 "No Match"
32 230 318 202 310 256 44 183 340 187 243 162 309 50 52 "No Match"
328 123 177 116 39 180 198 295 145 11 38 277 340 155 352 "No Match"
312 182 178 19 309 279 271 212 273 74 73 39 75 191 230 "No Match"
120 12 340 241 313 259 196 124 132 241 242 269 269 214 301 Match
69 121 160 295 72 53 98 215 306 283 180 267 73 320 120 "No Match"
57 221 332 90 107 109 53 145 141 92 7 237 43 167 306 "No Match"
236 3 75 180 66 169 80 301 356 180 48 147 137 184 153 Match
153 258 255 52 45 223 9 289 337 205 202 2 310 148 344 "No Match"
152 234 249 280 308 331 111 14 38 283 341 136 43 266 226 "No Match"
215 231 165 53 282 153 89 204 322 364 10 179 131 46 319 "No Match"
186 278 235 297 326 97 328 53 206 268 22 215 300 193 202 "No Match"
92 214 300 351 334 21 287 36 49 278 42 65 122 340 311 "No Match"
288 279 162 241 176 195 114 180 88 195 169 202 24 119 8 Match
145 176 123 282 97 5 1 23 343 128 19 325 323 98 208 "No Match"
19 67 164 49 225 68 309 51 345 111 83 186 196 38 81 "No Match"
304 299 220 47 27 147 346 346 231 281 87 212 210 289 59 Match
227 5 184 185 165 32 291 331 3 93 253 206 223 147 236 "No Match"
142 101 186 168 43 53 345 262 196 144 101 80 136 23 314 Match
116 142 324 269 126 154 286 64 25 180 302 231 164 227 36 "No Match"
331 246 57 180 229 321 185 93 342 359 5 143 288 275 96 "No Match"
67 307 77 220 128 46 92 4 351 90 332 76 336 243 76 Match
202 181 329 224 107 173 233 99 339 106 86 325 257 184 205 "No Match"
234 168 268 313 129 250 22 95 157 333 18 363 193 317 177 "No Match"
353 244 336 321 300 270 320 113 181 310 106 300 29 328 322 Match
287 214 67 144 118 247 29 139 356 38 64 27 175 60 120 "No Match"
349 243 57 260 324 209 16 15 302 90 287 234 286 4 7 "No Match"
340 335 80 126 302 9 342 7 362 239 255 191 14 177 90 "No Match"
99 97 111 340 144 83 291 322 81 32 304 173 88 51 190 "No Match"
132 20 39 280 31 86 297 61 255 62 12 266 2 83 253 "No Match"
53 215 347 361 160 24 271 181 212 194 88 2 218 118 34 "No Match"
8 36 242 293 280 278 287 158 253 289 355 122 228 24 60 "No Match"
63 171 282 347 150 247 339 214 314 117 164 81 235 123 32 "No Match"
270 31 313 356 337 26 360 273 91 190 16 19 311 50 107 "No Match"
176 225 159 99 141 11 185 83 289 10 25 151 361 75 12 "No Match"
351 99 252 55 46 166 55 75 151 67 123 343 37 288 238 Match
125 317 351 119 102 122 270 24 272 238 237 61 276 237 120 Match
64 258 192 281 58 114 26 288 241 12 260 102 147 54 108 "No Match"
63 228 157 240 185 134 323 9 47 359 320 245 310 216 306 "No Match"
150 253 60 249 103 5 268 338 186 241 224 176 25 244 330 "No Match"
275 361 244 145 264 260 184 321 295 14 231 198 63 343 304 "No Match"
333 223 20 169 332 230 122 194 302 88 192 170 76 203 108 "No Match"
325 250 139 1 59 39 295 362 83 356 240 260 242 64 48 Match
193 342 84 30 90 134 290 143 130 8 249 142 286 326 345 "No Match"
166 2 272 291 302 213 171 38 323 201 272 209 63 98 271 Match
263 341 192 353 40 173 215 99 354 21 56 157 338 317 354 Match
77 221 90 149 234 311 129 341 334 82 162 320 227 227 265 Match
353 59 37 360 87 113 181 275 185 169 154 34 331 299 51 "No Match"
172 61 99 233 173 330 198 14 238 296 246 255 70 322 176 "No Match"
282 253 136 14 18 77 31 113 330 212 24 149 103 115 143 "No Match"
128 292 286 58 9 284 68 160 78 272 320 49 283 316 121 "No Match"
331 83 186 364 199 160 69 132 138 124 300 259 361 211 43 "No Match"
164 177 213 29 265 105 28 197 291 82 365 247 272 69 19 "No Match"
107 102 8 107 5 209 46 336 219 192 28 355 212 85 194 Match
302 77 340 308 90 347 120 139 294 19 142 352 317 72 40 "No Match"
79 279 333 107 284 113 255 166 212 143 123 292 332 133 88 "No Match"
301 197 343 52 10 294 207 312 84 300 327 157 237 225 283 "No Match"
292 327 262 257 256 105 30 19 305 16 211 345 205 30 251 Match
36 76 92 206 135 313 83 282 339 122 329 321 331 31 12 "No Match"
74 218 325 86 336 69 17 33 107 309 346 230 206 319 350 "No Match"
228 174 347 305 96 96 122 2 143 279 39 252 226 145 184 Match
335 307 210 235 182 305 331 303 331 339 182 120 209 43 332 Match
110 244 225 177 76 143 130 76 332 120 112 264 203 344 89 Match
186 72 128 215 303 27 85 343 130 362 187 202 194 167 276 "No Match"
74 179 35 333 5 73 206 20 17 323 171 292 199 223 252 "No Match"
18 364 37 260 317 228 129 24 260 184 84 203 125 353 226 Match
210 270 222 49 295 273 268 110 283 128 54 100 326 101 323 "No Match"
42 1 156 95 21 311 355 317 330 65 124 147 200 343 200 Match
190 158 316 305 222 91 76 314 30 296 220 73 33 27 300 "No Match"
152 356 260 309 117 32 164 128 255 247 20 183 327 235 361 "No Match"
250 329 121 69 162 319 53 315 233 55 75 294 74 355 25 "No Match"
203 281 91 254 51 263 193 146 269 114 35 17 347 77 244 "No Match"
286 112 152 295 275 244 240 35 66 183 216 182 127 330 45 "No Match"
88 262 1 201 296 185 356 169 163 345 299 40 118 278 303 "No Match"
317 136 213 253 42 192 342 276 308 216 352 211 275 212 361 "No Match"
271 134 335 122 273 116 10 183 298 118 161 180 181 361 306 "No Match"
182 287 274 328 325 38 72 242 147 103 254 46 260 295 199 "No Match"
20 206 294 59 183 184 351 37 326 132 328 212 172 345 363 "No Match"
50 3 219 322 271 14 243 225 16 119 47 169 274 326 118 "No Match"
12 221 140 266 130 50 330 102 176 48 26 64 60 150 280 "No Match"
112 16 300 236 186 347 222 290 20 263 178 353 92 175 144 "No Match"
165 10 103 182 79 200 178 83 172 270 250 152 289 270 213 Match
172 48 298 42 179 118 363 338 242 337 241 49 355 80 152 "No Match"
168 21 20 100 98 52 130 199 121 49 359 119 312 111 98 Match
54 177 25 244 40 306 179 162 140 321 336 183 65 226 69 "No Match"
273 308 203 136 18 342 102 197 256 212 55 307 313 180 162 "No Match"
219 26 130 214 346 281 207 40 178 61 22 212 260 24 347 "No Match"
82 340 134 231 76 279 354 111 320 87 66 208 51 117 13 "No Match"
222 78 102 53 196 48 43 278 351 301 79 118 82 165 198 "No Match"
127 365 252 264 343 15 323 296 347 194 74 124 130 6 275 "No Match"
131 98 71 278 46 7 300 226 99 172 292 295 21 72 7 Match
316 170 216 100 298 217 320 233 136 326 61 40 145 108 166 "No Match"
