Bday1 Bday2 Bday3 Bday4 Bday5 Bday6 Bday7 Bday8 Bday9 Bday10 Bday11 Bday12 Bday13 Bday14 Bday15 "Same Birthday"
115 152 215 256 259 271 52 199 339 251 251 121 226 78 182 Match
47 96 34 19 130 296 232 97 61 240 257 273 186 295 134 "No Match"
229 71 252 173 211 96 213 347 254 231 224 38 268 317 59 "No Match"
197 18 5 281 312 114 3 344 205 25 271 88 336 53 221 "No Match"
205 16 54 262 237 348 298 242 81 214 99 104 70 59 17 "No Match"
274 131 73 301 351 121 162 153 294 140 358 106 244 354 122 "No Match"
48 96 181 250 155 229 25 352 193 194 316 39 31 157 56 "No Match"
215 85 335 268 360 182 343 44 115 210 13 86 153 315 63 "No Match"
127 40 142 245 255 192 215 281 165 214 276 84 16 14 343 "No Match"
294 206 123 139 282 78 310 25 118 347 353 325 205 341 332 "No Match"
182 195 155 28 172 85 65 327 107 60 278 125 271 340 213 "No Match"
268 240 59 164 76 332 47 312 294 270 281 244 70 138 321 "No Match"
105 265 10 15 117 71 300 95 190 233 266 20 31 206 206 Match
297 58 120 248 104 266 336 336 267 49 176 191 74 180 69 Match
265 233 145 35 177 191 348 313 82 183 62 110 43 204 309 "No Match"
65 118 268 149 122 293 267 351 211 82 150 302 240 326 234 "No Match"
65 157 141 17 298 211 274 128 19 96 60 290 37 2 169 "No Match"
74 258 16 325 278 303 270 151 320 19 214 242 293 251 353 "No Match"
332 12 360 272 277 192 53 327 283 30 355 6 282 121 330 "No Match"
275 313 99 281 324 82 283 80 91 322 279 180 335 169 161 "No Match"
65 365 46 200 227 48 129 40 308 244 161 299 118 146 180 "No Match"
48 164 232 251 308 140 165 314 332 74 162 97 14 245 162 Match
50 174 257 334 283 25 96 27 9 5 320 342 214 304 318 "No Match"
339 323 11 81 31 122 32 61 155 18 319 256 220 87 62 "No Match"
19 163 73 79 350 191 257 15 327 188 29 283 315 265 345 "No Match"
23 108 56 289 90 86 361 15 20 231 46 165 329 349 36 "No Match"
12 260 17 32 282 179 233 71 99 249 184 233 136 346 41 Match
6 335 262 352 89 181 118 112 115 302 84 51 260 349 18 "No Match"
180 35 361 348 287 135 268 42 7 103 53 108 347 330 219 "No Match"
200 292 364 35 303 184 300 249 2 199 252 104 160 127 33 "No Match"
28 163 164 167 115 325 235 71 317 102 317 181 357 241 359 Match
