Bday1 Bday2 Bday3 Bday4 Bday5 Bday6 Bday7 Bday8 Bday9 Bday10 Bday11 Bday12 Bday13 Bday14 Bday15 "Same Birthday"
349 346 204 213 325 173 191 176 39 196 132 241 34 344 68 "No Match"
353 282 133 212 230 337 312 237 53 228 227 267 154 313 255 "No Match"
320 23 213 116 198 176 318 191 324 223 39 41 92 220 92 Match
162 156 145 279 175 129 129 339 117 316 118 63 344 186 149 Match
337 124 71 196 345 208 79 143 137 103 43 311 172 16 286 "No Match"
33 233 308 81 205 263 165 80 363 29 338 338 92 236 91 Match
51 363 124 279 299 213 85 216 256 140 290 365 193 343 139 "No Match"
150 313 364 269 14 86 122 125 207 343 116 294 20 218 50 "No Match"
13 159 291 169 365 94 160 55 175 18 28 161 274 143 222 "No Match"
118 7 50 122 245 155 331 101 127 147 3 302 154 32 232 "No Match"
171 239 171 52 256 191 332 233 195 12 266 349 125 134 340 Match
132 129 348 292 130 77 148 270 29 250 183 178 338 266 275 "No Match"
138 93 144 191 200 224 61 6 147 18 86 312 174 149 279 "No Match"
133 101 238 200 301 345 291 187 94 25 237 70 68 84 309 "No Match"
138 76 63 238 325 210 141 205 170 52 324 293 134 360 207 "No Match"
205 199 293 91 236 328 138 82 246 127 218 285 221 155 200 "No Match"
136 243 297 34 57 38 196 230 65 246 135 119 179 273 362 "No Match"
194 119 58 212 208 133 97 162 280 217 222 223 126 110 197 "No Match"
126 268 37 12 117 189 182 12 123 232 269 211 293 115 308 Match
141 338 72 99 115 334 138 22 242 203 33 327 80 76 92 "No Match"
108 338 191 47 227 284 120 10 258 128 54 203 135 284 155 Match
83 201 159 296 340 71 349 123 11 48 340 271 257 219 242 Match
36 168 280 163 260 42 39 223 209 195 68 343 174 120 156 "No Match"
221 128 334 251 247 299 106 304 17 262 44 126 214 175 146 "No Match"
318 139 240 294 167 310 321 60 42 359 341 40 249 340 105 "No Match"
283 333 319 247 296 15 84 57 111 254 257 311 231 119 292 "No Match"
109 342 177 149 285 306 202 72 325 62 206 51 24 69 212 "No Match"
70 151 2 59 170 71 231 144 262 288 22 199 54 353 222 "No Match"
134 260 257 308 46 34 331 145 52 189 278 16 190 146 365 "No Match"
186 43 364 281 337 226 182 185 253 12 88 209 237 95 67 "No Match"
67 277 150 142 232 120 171 152 174 162 64 55 13 88 177 "No Match"
60 59 232 144 237 115 123 365 84 337 89 346 251 120 95 "No Match"
343 187 188 97 282 291 337 221 92 98 47 160 363 311 138 "No Match"
110 16 4 280 141 89 309 234 302 58 283 365 58 142 167 Match
4 230 171 323 89 180 261 252 169 330 100 284 50 53 88 "No Match"
110 350 140 39 120 80 91 175 328 261 248 143 227 225 149 "No Match"
45 21 237 184 134 70 75 352 154 362 222 285 246 57 316 "No Match"
305 264 280 228 124 56 123 357 297 12 33 191 275 333 236 "No Match"
134 317 116 20 3 95 224 52 279 293 199 295 181 62 221 "No Match"
236 183 357 276 257 62 117 159 81 50 251 275 325 237 324 "No Match"
265 201 70 29 174 208 188 182 296 332 168 158 47 100 22 "No Match"
142 230 295 225 102 135 225 260 53 359 260 12 248 83 335 Match
248 245 221 91 286 135 262 234 227 137 150 215 255 365 295 "No Match"
50 87 284 120 148 285 294 258 334 131 292 46 247 199 327 "No Match"
202 91 201 110 50 207 9 340 278 37 261 223 33 301 333 "No Match"
317 27 122 55 349 332 266 176 152 278 198 147 146 305 17 "No Match"
186 262 55 364 346 273 280 205 158 361 262 196 130 238 9 Match
309 266 181 241 252 121 335 247 20 7 136 26 193 342 210 "No Match"
238 72 330 253 177 99 63 184 302 12 140 215 314 356 126 "No Match"
140 325 109 187 361 209 104 59 14 140 39 133 138 88 270 Match
163 350 308 105 110 104 214 24 242 346 254 163 22 104 119 Match
226 255 338 38 101 8 280 40 46 247 265 241 213 236 127 "No Match"
24 182 98 35 57 54 129 255 298 41 301 32 362 236 92 "No Match"
229 290 357 318 222 221 126 77 103 58 282 71 163 117 68 "No Match"
253 225 131 82 338 53 31 16 355 13 66 252 275 9 69 "No Match"
30 294 250 187 297 66 207 223 343 178 295 142 348 286 12 "No Match"
98 131 139 234 221 353 256 47 362 182 143 8 142 82 16 "No Match"
290 23 239 92 48 357 255 83 128 184 218 300 168 259 176 "No Match"
236 294 4 140 104 314 224 355 307 62 188 219 322 41 328 "No Match"
128 136 102 303 104 267 140 333 269 129 233 62 194 228 362 "No Match"
271 116 309 25 305 66 137 360 348 232 323 39 117 79 84 "No Match"
315 149 120 118 28 25 144 205 120 178 254 105 28 66 299 Match
39 98 117 166 64 312 110 117 101 240 232 230 316 345 147 Match
327 230 339 297 302 130 340 199 354 20 22 348 263 253 309 "No Match"
155 153 101 27 78 174 32 282 302 65 161 361 4 211 256 "No Match"
161 71 214 59 32 357 252 55 58 73 97 241 296 31 219 "No Match"
313 42 47 353 129 72 65 110 165 357 82 47 274 314 178 Match
129 78 1 227 278 79 72 233 190 61 211 263 314 313 182 "No Match"
334 80 120 237 127 157 289 107 296 111 322 313 296 243 268 Match
182 151 9 135 1 295 293 355 20 139 240 295 281 112 301 Match
284 226 117 83 326 238 67 24 126 33 354 293 43 266 106 "No Match"
117 338 7 113 296 57 330 315 143 262 92 329 134 175 182 "No Match"
271 316 331 225 80 175 275 25 59 209 246 277 35 358 297 "No Match"
253 361 303 74 272 208 27 272 357 325 47 250 260 120 158 Match
281 140 193 273 231 139 131 242 249 243 102 63 196 245 197 "No Match"
130 16 185 181 304 264 27 290 43 333 361 154 312 296 7 "No Match"
14 263 331 290 5 248 170 237 72 294 355 25 139 72 308 Match
48 150 179 210 335 229 179 282 16 358 68 362 103 111 173 Match
29 184 117 286 99 310 301 114 296 270 9 237 78 185 25 "No Match"
265 254 86 253 182 178 74 78 157 148 239 356 270 84 342 "No Match"
150 66 104 195 134 336 29 201 335 260 169 282 135 64 134 Match
270 259 244 43 92 279 240 24 21 167 236 141 230 118 84 "No Match"
318 181 287 282 343 285 133 328 106 259 54 363 211 272 152 "No Match"
245 11 209 37 284 153 302 34 332 323 310 67 42 12 295 "No Match"
330 249 127 198 362 208 129 253 100 63 339 218 299 321 282 "No Match"
219 104 268 234 104 121 239 52 188 47 293 223 262 63 267 Match
31 41 195 288 124 89 258 238 104 237 68 114 353 67 236 "No Match"
68 91 363 315 60 139 181 109 252 2 119 287 324 296 268 "No Match"
106 33 175 77 306 275 96 236 81 147 280 42 193 162 258 "No Match"
342 53 191 243 326 21 129 49 264 82 124 64 21 125 87 Match
346 128 168 111 281 61 287 166 42 137 27 308 246 174 233 "No Match"
220 266 6 10 348 344 141 96 156 338 118 364 171 254 145 "No Match"
49 337 282 333 111 261 284 18 27 166 330 112 291 294 46 "No Match"
219 172 86 334 233 169 63 39 352 223 330 182 240 23 234 "No Match"
257 93 309 314 222 331 229 98 184 278 285 61 352 78 186 "No Match"
166 280 16 282 31 29 46 65 35 345 116 237 187 347 284 "No Match"
117 35 98 344 58 353 177 348 297 276 289 114 55 234 251 "No Match"
80 242 230 326 356 352 120 261 285 362 160 240 155 216 320 "No Match"
136 109 238 177 39 237 234 202 137 59 226 235 328 135 340 "No Match"
163 257 339 235 104 187 195 147 124 16 1 296 171 261 117 "No Match"
7 65 263 34 52 62 364 12 119 232 180 96 73 191 171 "No Match"
143 91 321 347 283 45 11 219 309 172 257 34 124 34 279 Match
238 171 7 327 194 279 146 279 103 11 108 56 4 67 164 Match
174 166 86 292 205 247 131 68 154 117 161 352 363 324 200 "No Match"
96 119 50 12 161 349 143 310 284 15 355 162 337 198 57 "No Match"
209 103 271 176 294 225 82 60 362 42 220 358 27 287 342 "No Match"
89 135 139 312 14 151 94 71 283 13 16 177 76 290 44 "No Match"
12 255 175 202 110 225 74 331 6 212 264 343 160 154 155 "No Match"
233 131 193 349 186 61 31 239 210 331 50 88 274 293 82 "No Match"
195 50 348 48 364 313 299 218 121 145 80 29 340 79 248 "No Match"
84 328 259 85 288 365 135 302 111 107 147 340 154 83 27 "No Match"
167 91 314 264 177 116 83 136 136 227 219 67 353 208 343 Match
266 257 201 79 334 61 322 148 216 314 96 197 69 193 273 "No Match"
203 308 338 60 266 151 165 122 220 251 256 93 102 302 325 "No Match"
110 127 274 231 72 105 342 349 170 177 175 339 323 197 286 "No Match"
305 137 96 202 280 81 124 348 228 348 327 25 27 290 263 Match
116 44 13 320 62 78 48 347 238 88 291 204 350 260 313 "No Match"
260 119 83 137 158 210 114 106 42 57 130 23 298 65 197 "No Match"
330 6 115 222 133 97 281 249 257 2 287 304 34 81 57 "No Match"
193 28 193 81 179 354 336 192 80 359 246 118 169 155 241 Match
195 160 207 142 285 33 76 225 169 225 268 117 289 196 359 Match
335 83 145 70 81 275 191 201 346 271 244 365 130 187 77 "No Match"
248 229 350 313 364 35 173 226 276 147 339 46 281 63 279 "No Match"
