Bday1 Bday2 Bday3 Bday4 Bday5 Bday6 Bday7 Bday8 Bday9 Bday10 Bday11 Bday12 Bday13 Bday14 Bday15 "Same Birthday"
250 15 60 266 288 222 171 174 140 144 357 251 351 346 5 "No Match"
253 238 136 144 311 12 341 308 321 206 143 139 232 338 358 "No Match"
254 88 127 124 263 176 158 179 2 26 307 303 87 94 95 "No Match"
297 119 279 320 96 157 315 30 257 186 182 352 197 101 95 "No Match"
84 318 62 33 45 37 8 309 118 289 364 331 192 252 3 "No Match"
187 56 9 125 271 306 290 321 8 145 351 14 313 52 270 "No Match"
7 198 214 226 15 191 109 179 152 329 216 98 58 91 72 "No Match"
70 334 82 198 31 343 43 225 179 330 73 351 27 285 139 "No Match"
197 168 212 338 161 293 88 124 315 203 351 86 348 338 333 Match
248 80 294 120 66 298 110 328 224 276 188 186 132 89 80 Match
166 127 61 207 57 300 12 60 293 19 313 116 359 70 180 "No Match"
201 51 115 301 152 333 95 219 119 57 66 342 168 134 272 "No Match"
213 189 89 155 106 163 250 291 145 260 153 159 275 84 193 "No Match"
309 24 27 6 311 341 207 204 294 303 133 326 86 35 199 "No Match"
12 79 130 237 194 353 285 349 350 15 205 107 267 152 190 "No Match"
104 289 24 329 203 294 2 61 363 357 157 206 200 209 50 "No Match"
11 1 341 191 341 213 358 190 108 339 131 247 336 328 348 Match
274 329 347 147 65 57 273 165 154 11 153 29 148 92 300 "No Match"
263 11 324 265 262 32 158 12 57 137 325 299 195 349 352 "No Match"
35 323 219 319 184 186 71 77 227 353 118 130 149 194 256 "No Match"
172 39 134 72 54 59 152 40 106 242 147 353 330 246 107 "No Match"
316 226 81 91 185 220 179 18 233 240 44 74 298 59 19 "No Match"
337 199 307 167 200 33 70 149 20 188 204 238 98 74 194 "No Match"
55 169 312 233 92 109 229 142 36 253 221 298 336 69 236 "No Match"
10 161 78 201 240 192 281 150 263 4 167 329 248 152 337 "No Match"
238 212 360 279 44 48 112 57 274 101 222 318 363 103 19 "No Match"
63 163 101 303 289 249 65 150 107 299 140 34 30 298 185 "No Match"
19 119 100 294 55 336 60 159 315 71 321 43 338 74 290 "No Match"
178 213 103 326 130 16 213 242 311 146 23 333 50 319 183 Match
83 156 298 154 332 55 283 271 325 188 337 364 277 337 93 Match
274 238 180 209 353 316 316 108 191 97 333 300 237 236 358 Match
238 218 153 217 137 307 353 253 355 308 180 113 350 158 297 "No Match"
140 121 90 64 253 253 79 93 208 183 284 123 47 341 19 Match
189 342 204 341 298 273 222 65 257 171 122 117 62 326 152 "No Match"
107 325 302 163 149 357 132 2 332 345 58 36 41 242 247 "No Match"
311 140 262 340 213 277 55 37 252 283 23 63 255 98 165 "No Match"
216 133 204 157 322 109 121 271 69 19 90 12 301 3 307 "No Match"
97 92 30 278 120 158 327 97 142 352 42 342 28 105 221 Match
219 304 121 270 280 188 282 127 131 207 247 236 5 71 273 "No Match"
309 342 289 70 125 343 85 29 8 122 35 92 246 79 40 "No Match"
162 51 163 30 296 95 266 1 60 149 310 124 101 154 318 "No Match"
146 38 201 256 232 44 60 216 218 113 130 152 293 2 15 "No Match"
75 94 302 146 202 96 76 37 361 208 183 261 266 352 350 "No Match"
206 18 26 100 337 357 58 365 332 90 136 261 303 172 199 "No Match"
136 86 48 120 287 351 228 246 346 11 27 220 122 358 55 "No Match"
246 294 19 145 102 53 5 17 39 115 226 131 297 288 206 "No Match"
163 18 19 238 144 181 52 299 222 184 269 27 47 250 32 "No Match"
66 226 239 2 174 7 288 79 23 177 35 12 4 146 232 "No Match"
218 160 232 330 195 76 298 97 104 92 364 224 102 22 60 "No Match"
219 47 243 309 124 148 165 221 100 257 199 151 164 325 330 "No Match"
22 16 4 15 31 97 77 125 76 286 288 364 202 102 197 "No Match"
