"Die 1" "Die 2" Sum Outcome
1 2 3 Lose
4 6 10 ""
2 5 7 Lose
1 5 6 ""
1 5 6 Win
4 6 10 ""
4 6 10 Win
4 4 8 ""
2 5 7 Lose
6 6 12 Lose
6 5 11 Win
4 4 8 ""
5 1 6 ""
6 6 12 ""
5 3 8 Win
6 3 9 ""
4 1 5 ""
6 3 9 Win
2 3 5 ""
6 2 8 ""
4 1 5 Win
3 6 9 ""
5 2 7 Lose
2 4 6 ""
3 1 4 ""
2 1 3 ""
1 5 6 Win
5 5 10 ""
5 6 11 ""
1 4 5 ""
2 2 4 ""
6 1 7 Lose
5 4 9 ""
4 5 9 Win
6 1 7 Win
2 2 4 ""
4 4 8 ""
6 4 10 ""
1 2 3 ""
6 6 12 ""
2 4 6 ""
3 6 9 ""
2 3 5 ""
1 3 4 Win
5 3 8 ""
1 2 3 ""
4 2 6 ""
4 6 10 ""
4 2 6 ""
6 5 11 ""
2 5 7 Lose
1 1 2 Lose
5 5 10 ""
2 4 6 ""
1 5 6 ""
5 2 7 Lose
1 1 2 Lose
2 3 5 ""
1 6 7 Lose
1 1 2 Lose
6 1 7 Win
2 1 3 Lose
4 1 5 ""
3 2 5 Win
5 6 11 Win
5 1 6 ""
6 5 11 ""
1 5 6 Win
5 2 7 Win
1 6 7 Win
6 4 10 ""
6 2 8 ""
1 1 2 ""
4 5 9 ""
5 6 11 ""
1 5 6 ""
4 1 5 ""
2 4 6 ""
5 4 9 ""
4 5 9 ""
3 2 5 ""
2 1 3 ""
2 5 7 Lose
3 3 6 ""
5 1 6 Win
5 4 9 ""
3 5 8 ""
3 1 4 ""
3 2 5 ""
6 4 10 ""
2 2 4 ""
5 5 10 ""
6 2 8 ""
1 2 3 ""
3 6 9 Win
2 3 5 ""
6 2 8 ""
4 5 9 ""
6 1 7 Lose
6 5 11 Win
2 6 8 ""
1 6 7 Lose
5 2 7 Win
4 6 10 ""
5 5 10 Win
2 3 5 ""
3 2 5 Win
3 1 4 ""
1 1 2 ""
6 4 10 ""
3 5 8 ""
3 5 8 ""
6 3 9 ""
5 2 7 Lose
2 6 8 ""
5 1 6 ""
3 5 8 Win
2 6 8 ""
2 4 6 ""
6 6 12 ""
6 3 9 ""
3 5 8 Win
4 4 8 ""
5 6 11 ""
4 1 5 ""
4 1 5 ""
1 5 6 ""
3 3 6 ""
1 6 7 Lose
4 6 10 ""
2 2 4 ""
2 2 4 ""
6 1 7 Lose
5 5 10 ""
4 6 10 Win
2 1 3 Lose
5 3 8 ""
6 6 12 ""
4 6 10 ""
1 3 4 ""
1 3 4 ""
1 6 7 Lose
