Spin1 Spin2 Outcome_Spin1 Outcome_Spin2A Outcome_Spin2B Player1_Spin3 Player2_Spin3 Strategy1 Strategy2
65 25 "Spin Again" win win 85 95 win win
30 55 "Spin Again" win win 5 95 win win
90 65 win win win 65 5 win win
95 25 win win win 70 40 win win
25 55 "Spin Again" tie tie 85 55 lose lose
65 55 "Spin Again" lose lose 50 90 lose lose
35 70 "Spin Again" lose lose 25 95 lose lose
20 10 "Spin Again" lose lose 55 10 lose lose
75 80 "Spin Again" lose lose 65 30 lose lose
75 30 "Spin Again" lose lose 55 100 lose lose
100 20 win win win 45 55 win win
75 45 "Spin Again" lose lose 60 25 lose lose
65 50 "Spin Again" lose lose 60 100 lose lose
70 5 "Spin Again" lose lose 40 95 lose lose
85 50 win win win 75 5 win win
30 95 "Spin Again" lose lose 15 25 lose lose
70 75 "Spin Again" lose lose 80 45 lose lose
35 90 "Spin Again" lose lose 5 65 lose lose
100 60 win win win 55 20 win win
70 35 "Spin Again" lose lose 95 15 lose lose
100 25 win win win 70 90 win win
20 95 "Spin Again" lose lose 65 20 lose lose
85 5 win win win 15 100 win win
70 100 "Spin Again" lose lose 45 70 lose lose
15 40 "Spin Again" lose lose 75 90 lose lose
10 5 "Spin Again" lose lose 60 70 lose lose
15 55 "Spin Again" lose lose 65 30 lose lose
30 75 "Spin Again" lose lose 80 20 lose lose
10 35 "Spin Again" lose lose 95 45 lose lose
20 50 "Spin Again" lose lose 5 70 lose lose
35 100 "Spin Again" lose lose 5 50 lose lose
10 90 "Spin Again" win win 95 55 win win
25 5 "Spin Again" lose lose 25 100 lose lose
50 100 "Spin Again" lose lose 40 60 lose lose
15 85 "Spin Again" win win 60 15 win win
25 60 "Spin Again" win win 65 75 win win
100 100 win win win 90 15 win win
65 25 "Spin Again" win win 35 40 win win
10 60 "Spin Again" lose lose 10 45 lose lose
65 95 "Spin Again" lose lose 20 100 lose lose
55 25 "Spin Again" tie tie 95 35 lose lose
15 30 "Spin Again" lose lose 90 35 lose lose
100 70 win win win 45 75 win win
70 70 "Spin Again" lose lose 40 75 lose lose
70 50 "Spin Again" lose lose 10 65 lose lose
40 10 "Spin Again" lose lose 10 5 lose lose
15 30 "Spin Again" lose lose 15 80 lose lose
5 80 "Spin Again" win win 20 80 win win
35 95 "Spin Again" lose lose 65 50 lose lose
95 40 win win win 70 95 win win
75 15 "Spin Again" win win 100 100 win win
45 85 "Spin Again" lose lose 25 80 lose lose
55 75 "Spin Again" lose lose 85 85 lose lose
55 100 "Spin Again" lose lose 85 60 lose lose
15 25 "Spin Again" lose lose 25 15 lose lose
100 65 win win win 35 65 win win
15 30 "Spin Again" lose lose 5 50 lose lose
5 10 "Spin Again" lose lose 45 10 lose lose
75 60 "Spin Again" lose lose 5 70 lose lose
35 40 "Spin Again" lose lose 30 90 lose lose
20 70 "Spin Again" win win 20 95 win win
75 15 "Spin Again" win win 65 90 win win
40 20 "Spin Again" lose lose 90 70 lose lose
45 90 "Spin Again" lose lose 30 80 lose lose
50 55 "Spin Again" lose lose 90 55 lose lose
90 55 win win win 65 15 win win
100 50 win win win 5 70 win win
80 100 tie lose tie 30 5 lose lose
95 45 win win win 10 85 win win
60 80 "Spin Again" lose lose 80 35 lose lose
65 100 "Spin Again" lose lose 35 25 lose lose
20 60 "Spin Again" tie tie 80 30 lose lose
15 50 "Spin Again" lose lose 10 70 lose lose
50 80 "Spin Again" lose lose 70 60 lose lose
15 20 "Spin Again" lose lose 75 10 lose lose
15 90 "Spin Again" lose lose 85 90 lose lose
25 95 "Spin Again" lose lose 60 25 lose lose
5 25 "Spin Again" lose lose 85 25 lose lose
5 100 "Spin Again" lose lose 100 95 lose lose
35 45 "Spin Again" tie tie 95 30 lose lose
60 75 "Spin Again" lose lose 85 95 lose lose
55 75 "Spin Again" lose lose 65 40 lose lose
50 10 "Spin Again" lose lose 50 45 lose lose
25 80 "Spin Again" lose lose 65 80 lose lose
75 30 "Spin Again" lose lose 85 15 lose lose
80 20 tie win tie 25 55 win lose
50 90 "Spin Again" lose lose 80 55 lose lose
85 90 win win win 75 50 win win
90 5 win win win 90 50 win win
85 15 win win win 75 30 win win
45 50 "Spin Again" win win 30 5 win win
15 55 "Spin Again" lose lose 25 15 lose lose
20 70 "Spin Again" win win 70 95 win win
15 75 "Spin Again" win win 90 35 win win
100 25 win win win 60 30 win win
20 55 "Spin Again" lose lose 100 70 lose lose
55 20 "Spin Again" lose lose 80 30 lose lose
35 35 "Spin Again" lose lose 90 80 lose lose
30 5 "Spin Again" lose lose 30 50 lose lose
70 5 "Spin Again" lose lose 10 100 lose lose
15 35 "Spin Again" lose lose 60 25 lose lose
30 85 "Spin Again" lose lose 25 25 lose lose
85 60 win win win 80 30 win win
20 50 "Spin Again" lose lose 45 40 lose lose
30 85 "Spin Again" lose lose 35 75 lose lose
100 50 win win win 85 80 win win
20 30 "Spin Again" lose lose 75 80 lose lose
25 85 "Spin Again" lose lose 90 5 lose lose
90 20 win win win 45 15 win win
35 40 "Spin Again" lose lose 65 90 lose lose
60 75 "Spin Again" lose lose 90 55 lose lose
50 55 "Spin Again" lose lose 30 5 lose lose
45 100 "Spin Again" lose lose 5 70 lose lose
