Duration "Trip Route" Passholder Sample1 Sample2
3 "One Way" "Monthly Pass" 124 152
5 "One Way" "Monthly Pass" 21 30
34 "Round Trip" Walk-up 122 8
33 "Round Trip" Walk-up 1169 39
412 "Round Trip" Walk-up 46 146
32 "Round Trip" Walk-up 12 18
13 "Round Trip" Walk-up 33 15
9 "One Way" Walk-up 38 1
15 "One Way" "Monthly Pass" 23 31
10 "One Way" "Monthly Pass" 78 4
4 "One Way" "Monthly Pass" 1440 52
6 "One Way" Walk-up 55 5
4 "One Way" "Monthly Pass" 17 32
3 "One Way" Walk-up 14 1
3 "One Way" Walk-up 23 29
10 "One Way" "Monthly Pass" 6 14
4 "One Way" "Monthly Pass" 24 42
3 "One Way" "Monthly Pass" 49 21
104 "One Way" "Monthly Pass" 14 65
7 "One Way" "Monthly Pass" 8 15
4 "One Way" "Monthly Pass" 30 25
6 "One Way" "Monthly Pass" 28 43
9 "One Way" "Monthly Pass" 41 1
3 "One Way" "Monthly Pass" 30 65
9 "One Way" "Monthly Pass" 45 172
18 "One Way" "Monthly Pass" 32 43
8 "One Way" "Monthly Pass" 13 39
14 "One Way" Walk-up 12 62
5 "One Way" "Monthly Pass" 92 33
6 "One Way" Walk-up 9 83
3 "One Way" "Monthly Pass" 19 11
6 "One Way" "Monthly Pass" 52 87
11 "One Way" "Monthly Pass" 1 8
2 "One Way" "Flex Pass" 55 30
5 "One Way" "Monthly Pass" 17 32
6 "One Way" "Monthly Pass" 37 156
1 "One Way" "Monthly Pass" 16 87
3 "One Way" "Monthly Pass" 16 17
4 "One Way" "Monthly Pass" 12 7
9 "One Way" "Monthly Pass" 20 44
5 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
20 "One Way" "Monthly Pass" "" ""
15 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
1052 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
14 "One Way" "Monthly Pass" "" ""
21 "Round Trip" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
27 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
14 "One Way" "Monthly Pass" "" ""
5 "Round Trip" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
4 "Round Trip" "Monthly Pass" "" ""
20 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
41 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
1 "Round Trip" "Monthly Pass" "" ""
