Vol. of PepsiCo Stock - Sample 1	Vol. of PepsiCo Stock - Sample 2
6.16	6.12
4.98	4.49
5.55	8.57
4.28	3.65
7.28	6.89
6.39	5.73
4.02	6.34
4.35	3.65
6.69	4.80
5.32	5.08
5.05	6.85
4.95	5.90
4.42	4.52
3.25	3.39
4.92	8.37
4.41	5.00
4.97	5.44
5.07	7.76
4.80	5.99
6.92	5.68
4.16	4.89
7.54	10.96
8.88	5.27
7.56	7.65
6.10	4.96
4.00	3.79
6.22	4.54
4.64	4.85
6.96	8.13
6.71	5.14
2.37	5.75
4.84	5.46
4.13	4.81
6.67	6.69
6.23	7.84
7.71	6.04
7.29	6.58
3.94	6.74
5.04	4.37
2.42	3.71
