"Trip.Seconds" Fare "Payment.Type"
300 6.5 Cash
1281 42.25 "Credit Card"
780 10.75 Cash
900 17 "Credit Card"
600 9.75 "Credit Card"
1020 12 Cash
840 14.75 Cash
1320 14 Cash
480 9.25 Cash
764 15.25 "Credit Card"
480 8.5 "Credit Card"
1440 26.5 "Credit Card"
600 11.75 "Credit Card"
2040 37.25 "Credit Card"
1320 39.5 "Credit Card"
1380 43.5 "Credit Card"
900 13.25 "Credit Card"
960 16 Cash
503 14.5 "Credit Card"
420 10.5 Cash
590 9.5 Cash
1200 23.25 Cash
840 12.25 "Credit Card"
300 6.75 "Credit Card"
660 15.25 "Credit Card"
480 7.5 Cash
840 12.25 "Credit Card"
329 6 "Credit Card"
480 7.5 "Credit Card"
480 8.25 Cash
1080 35 "Credit Card"
253 5.5 "Credit Card"
480 9 Cash
360 7.5 Cash
420 7.75 "Credit Card"
1080 29.25 Cash
1107 23 "Credit Card"
780 17.5 Cash
180 5.75 "Credit Card"
611 9.5 Cash
300 6.25 Cash
1980 29 Cash
1560 34.75 "Credit Card"
180 7.5 "Credit Card"
258 5.5 Cash
900 13.25 Cash
1320 33 "Credit Card"
180 4.75 Cash
331 7 Cash
420 10.75 Cash
1320 44.25 "Credit Card"
284 5.75 "Credit Card"
180 5 Cash
4320 54.25 "Credit Card"
1140 23.25 "Credit Card"
420 7.5 Cash
480 10.75 "Credit Card"
180 5 Cash
1345 44.25 "Credit Card"
240 6 Cash
600 9.5 "Credit Card"
540 8 Cash
480 7.75 Cash
1200 43.25 "Credit Card"
480 12 "Credit Card"
420 6.5 Cash
420 7 Cash
1680 45.25 "Credit Card"
360 7.25 "Credit Card"
1210 34 "Credit Card"
1680 33 "Credit Card"
420 8 "Credit Card"
420 9.75 "Credit Card"
180 4.25 Cash
660 17.25 Cash
1500 43.75 "Credit Card"
780 17.75 "Credit Card"
1560 44 "Credit Card"
120 3.75 Cash
300 5.75 Cash
360 6.5 Cash
464 12.5 "Credit Card"
840 15.75 "Credit Card"
900 19 Cash
360 7.5 Cash
180 4.5 Cash
180 4.75 Cash
540 11 "Credit Card"
480 7.5 Cash
1200 25.75 Cash
540 8 Cash
454 10.5 "Credit Card"
1860 36.5 "Credit Card"
960 14.5 Cash
504 9.25 Cash
314 6.5 "Credit Card"
360 6.5 "Credit Card"
240 5.75 Cash
720 13 Cash
812 14 "Credit Card"
480 7.5 "Credit Card"
240 5.25 Cash
780 17.75 Cash
300 5.75 "Credit Card"
2184 54.75 "Credit Card"
240 5.25 Cash
372 6.5 "Credit Card"
420 8 Cash
420 7.25 Cash
960 22.5 "Credit Card"
120 4.5 Cash
180 4 Cash
1311 43.75 "Credit Card"
60 3.25 "Credit Card"
394 8 "Credit Card"
420 7.25 Cash
240 5.25 Cash
42099 40.5 "Credit Card"
300 5.5 "Credit Card"
120 4.5 Cash
120 4.5 Cash
1380 36.5 "Credit Card"
840 17.75 Cash
1320 29.75 Cash
1500 38.25 "Credit Card"
1320 24.25 Cash
360 7.5 Cash
720 15.75 "Credit Card"
300 6 "Credit Card"
480 6.5 Cash
1560 45.75 Cash
1320 42.75 "Credit Card"
519 9.25 "Credit Card"
180 5.25 Cash
1320 43.75 "Credit Card"
300 5.75 Cash
2160 38 "Credit Card"
1020 32.25 "Credit Card"
1380 31 "Credit Card"
600 10 "Credit Card"
780 16 Cash
1569 45.25 "Credit Card"
180 4.5 Cash
1020 19.5 "Credit Card"
1860 46.75 "Credit Card"
240 5.5 "Credit Card"
1440 43.5 "Credit Card"
180 4.75 "Credit Card"
840 12 "Credit Card"
300 7 Cash
660 10.5 Cash
1320 20.5 "Credit Card"
360 7.5 "Credit Card"
600 10.75 Cash
1080 42 "Credit Card"
178 4.75 Cash
300 6.75 Cash
480 8.75 "Credit Card"
420 7.5 Cash
300 5.25 Cash
480 9 Cash
420 6.25 Cash
780 11.75 Cash
300 5.75 Cash
1320 38.5 "Credit Card"
600 13 Cash
540 9.75 Cash
660 10.25 "Credit Card"
660 9.25 "Credit Card"
300 6 Cash
60 4.5 Cash
240 5.25 Cash
840 13.5 Cash
720 16.75 "Credit Card"
666 14 "Credit Card"
780 13.25 "Credit Card"
240 5.5 Cash
377 7.75 "Credit Card"
1260 23.75 Cash
2100 57 Cash
197 4.75 "Credit Card"
840 11.5 Cash
888 25.75 "Credit Card"
660 17 "Credit Card"
1440 34.75 Cash
1573 44 "Credit Card"
1080 22.25 "Credit Card"
720 16.75 "Credit Card"
574 11.25 "Credit Card"
660 15 "Credit Card"
780 15.25 Cash
240 5.25 "Credit Card"
540 7.25 Cash
660 15.5 "Credit Card"
360 6.5 "Credit Card"
360 6.5 Cash
780 16.75 "Credit Card"
480 9 "Credit Card"
180 4.75 "Credit Card"
1320 28.75 Cash
498 10 Cash
720 12.75 "Credit Card"
600 8.75 Cash
1320 33.25 "Credit Card"
720 7.25 Cash
540 11.5 "Credit Card"
638 11 Cash
943 15 Cash
600 9.25 "Credit Card"
1680 44.25 "Credit Card"
300 6 "Credit Card"
1440 44.75 "Credit Card"
720 17.5 "Credit Card"
120 3.5 Cash
240 5.75 Cash
120 4.25 Cash
240 5 Cash
2640 32.25 Cash
180 4.75 "Credit Card"
780 12.25 "Credit Card"
300 5.25 Cash
276 6 Cash
420 7.25 "Credit Card"
240 5.25 "Credit Card"
840 18.75 Cash
1440 43 "Credit Card"
1500 32.25 Cash
540 7.75 "Credit Card"
600 17.75 Cash
1200 42 "Credit Card"
286 5.75 Cash
600 9 Cash
240 6 Cash
420 7.25 "Credit Card"
780 18.25 Cash
540 14 "Credit Card"
1080 23 Cash
840 16.75 Cash
840 69 Cash
1440 43.75 Cash
240 6 "Credit Card"
960 15.25 "Credit Card"
1200 38.25 "Credit Card"
396 7.75 "Credit Card"
600 9 Cash
180 4.5 Cash
51065 6.5 Cash
300 6 Cash
360 6.75 "Credit Card"
660 13.5 "Credit Card"
600 10.75 "Credit Card"
300 6.25 Cash
180 4.75 "Credit Card"
600 9.75 "Credit Card"
600 14.25 Cash
780 16.5 "Credit Card"
1200 17.75 Cash
480 8.25 Cash
600 18.5 "Credit Card"
1686 32.5 "Credit Card"
540 10.75 "Credit Card"
359 7 "Credit Card"
1080 28.25 "Credit Card"
180 4.25 "Credit Card"
840 11.75 Cash
900 13.75 "Credit Card"
540 11.75 Cash
535 8.5 Cash
180 5 "Credit Card"
2460 70.25 "Credit Card"
180 4.75 "Credit Card"
1380 42.5 "Credit Card"
927 18 Cash
240 5 "Credit Card"
360 7.25 Cash
360 7.5 Cash
840 19.75 "Credit Card"
1073 14.5 "Credit Card"
360 6.25 "Credit Card"
180 4.75 Cash
900 20 "Credit Card"
1500 45.25 "Credit Card"
900 18.5 Cash
900 13.25 "Credit Card"
480 7.25 Cash
240 6.25 Cash
1680 36.5 "Credit Card"
120 4.25 Cash
1320 40 Cash
360 7.5 "Credit Card"
1500 45 "Credit Card"
780 13.25 "Credit Card"
540 9.25 Cash
2040 50 Cash
1320 42.75 "Credit Card"
1800 22.25 Cash
60 4.5 "Credit Card"
900 12.5 "Credit Card"
360 7.25 Cash
1380 45.5 "Credit Card"
1351 43.75 "Credit Card"
240 6.25 "Credit Card"
27 3.25 "Credit Card"
720 18.5 "Credit Card"
240 6.25 "Credit Card"
480 8.5 Cash
420 7.25 Cash
900 14.5 "Credit Card"
259 5.25 "Credit Card"
840 20.75 Cash
540 7 Cash
780 11.75 Cash
180 4.25 Cash
660 11 "Credit Card"
300 7.25 Cash
660 10.75 Cash
480 7.5 Cash
1426 43.75 "Credit Card"
360 10.5 "Credit Card"
300 8 Cash
480 8.25 "Credit Card"
120 4 Cash
232 5.25 Cash
600 11.75 "Credit Card"
360 7.25 "Credit Card"
480 11 "Credit Card"
1740 70.75 "Credit Card"
780 16.75 Cash
420 6.25 Cash
600 17.25 "Credit Card"
300 6 Cash
180 5.25 Cash
240 5.5 "Credit Card"
1260 42.25 "Credit Card"
660 14.25 "Credit Card"
1200 33.75 "Credit Card"
1080 26 "Credit Card"
540 9.25 Cash
684 12.75 "Credit Card"
900 15.25 "Credit Card"
1380 43.25 "Credit Card"
1320 24.75 Cash
360 7.5 Cash
720 15.75 "Credit Card"
840 13.75 Cash
840 17.25 "Credit Card"
1320 50 "Credit Card"
1740 42 Cash
1815 43 "Credit Card"
260 6.25 "Credit Card"
2340 21.25 Cash
1866 47.75 Cash
2160 63 "Credit Card"
420 7.5 "Credit Card"
420 8.5 Cash
1020 29.75 "Credit Card"
240 5.25 "Credit Card"
1320 29.75 Cash
780 11.5 "Credit Card"
600 16.25 Cash
240 5.25 "Credit Card"
1500 36.5 "Credit Card"
1980 47 "Credit Card"
240 5.5 "Credit Card"
1860 49.5 Cash
