Rank "School" "ROI" "Cost" "GradRate" "Years" "Loan"
1 "United States Merchant Marine Academy(Service Academy)" 1094000 34900 76 4 20000
2 "United States Military Academy(Service Academy)" 1041000 0 86 4 N/A
3 "Massachusetts Institute of Technology(Private)" 1015000 249000 93 4 30200
4 "United States Naval Academy(Service Academy)" 1004000 0 86 4 N/A
5 "SUNY Maritime College(In-State)" 1003000 95300 57 5 29600
6 "Harvey Mudd College(Private)" 978000 272000 93 4 25500
7 "SUNY Maritime College(Out-of-State)" 964000 134000 57 5 29600
8 "Colorado School of Mines(In-State)" 909000 126000 77 4 26700
9 "United States Air Force Academy(Service Academy)" 905000 0 83 4 N/A
10 "California Institute of Technology(Private)" 887000 250000 94 4 30900
11 "Albany College of Pharmacy and Health Sciences(Private)" 870000 178000 71 6 54500
12 "Georgia Institute of Technology-Main Campus(In-State)" 856000 101000 86 5 33500
13 "Colorado School of Mines(Out-of-State)" 840000 195000 77 4 26700
14 "The California Maritime Academy(In-State)" 837000 87700 62 4 28600
15 "Stevens Institute of Technology(Private)" 832000 250000 83 5 26700
16 "Stanford University(Private)" 811000 255000 94 4 32200
17 "Webb Institute(Private)" 801000 257000 83 4 18000
18 "Princeton University(Private)" 797000 240000 97 4 18100
19 "Babson College(Private)" 793000 254000 91 4 32100
19 "The California Maritime Academy(Out-of-State)" 793000 132000 62 4 28600
21 "Massachusetts Maritime Academy(In-State)" 783000 92200 76 4 30700
22 "Georgia Institute of Technology-Main Campus(Out-of-State)" 777000 180000 86 5 33500
22 "Worcester Polytechnic Institute(Private)" 777000 242000 86 4 44400
24 "Kettering University(Private)" 766000 215000 53 5 44200
25 "Harvard University(Private)" 760000 254000 97 4 27400
26 "University of California-Berkeley(In-State)" 759000 139000 92 4 23900
27 "Missouri University of Science and Technology(In-State)" 753000 87300 64 5 27000
28 "Rose-Hulman Institute of Technology(Private)" 751000 239000 82 4 45800
29 "University of Pennsylvania(Private)" 739000 262000 95 4 28600
