Response_id Gender Age Birth "Text.while.Driving" Language "Number.of.Televisions" Smoke Cigarettes "Q8(a).Do.you.currently.own.a.car?" "Car.Color" Car Party "Political.philosophy" Internet Television "Cell.phone" Texts "Phone.calls" "Cell.phone.bill" Rich Deficit Tickets Children Height Foot Facebook "Facebook.friends" "Facebook.visits" Twitter "Sleep.weekend" "Sleep.weekday" "Job.status" "Hours.worked" "Credit.card" "Number.of.cards" "Credit.card.debt"
13178 Female 40 July Yes No 2 No "" No "" "" Independent Moderate 25 16 Yes 56 86 140 200000 No 1 2 68 12 Yes 268 10 Yes 8 8 Yes 38 Yes 3 2500
13183 Female 29 December Yes No 2 No "" Yes Red Foreign Independent Moderate 20 10 Yes 50 36 166 150000 Yes 0 3 66 9 Yes 239 5 No 9 8 Yes 17 Yes 2 1000
13191 Male 36 October Yes No 4 No "" Yes "Silver or Grey" Domestic Independent Moderate 15 5 Yes 50 15 222.47 1000000 No 2 2 75 12 Yes 138 2 No 8 7 Yes 44 Yes 2 0
13193 Male 19 October Yes No 5 No "" Yes Red Domestic Democrat Liberal 14 2 Yes 400 4 131 150000 Yes 0 2 71 11 Yes 570 3 No 10 7 Yes 15 No "" ""
13194 Female 19 August Yes Yes 3 No "" No "" "" Democrat Liberal 4 10 Yes 450 4 70 200000 No 0 3 67 12 Yes 175 4 No 12 7 No "" No "" ""
13289 Female 19 September Yes Yes 9 No "" Yes Other Foreign Democrat Liberal 10 6 Yes 1305 17 70 500000 No 0 3 65 8.5 Yes 78 1 No 10 7 Yes 16 No "" ""
13296 Female 45 August No No 1 No "" Yes Green Foreign Republican Moderate 5 6 Yes 6 7 139.67 500000 Yes 1 4 67 9 No "" "" No 6 7 Yes 45 Yes 3 0
13299 Male 46 May Yes No 5 No "" Yes Blue Domestic Republican Moderate 30 10 Yes 20 40 80 500000 No 0 2 75 13 No "" "" No 6 7 Yes 30 Yes 3 0
13301 Male 41 November Yes No 2 No "" Yes "Silver or Grey" Foreign Democrat Liberal 20 4 Yes 100 40 228.55 500000 Yes 0 3 72 11 Yes 600 4 Yes 8 6 Yes 50 Yes 5 3400
13304 Male 48 May Yes No 3 No "" Yes "Silver or Grey" Foreign Independent Moderate 2 21 Yes 10 75 100 150000 Yes 0 2 74 12 No "" "" No 6 6 Yes 45 Yes 1 0
13305 Male 49 May No No 2 No "" Yes Red Foreign Republican Conservative 4 2 Yes 15 25 30 1000000 No 0 3 72 12 Yes 30 1 No 7 7 Yes 50 Yes 3 0
13306 Male 28 October No No 2 No "" Yes Black Domestic Republican Conservative 20 10 Yes 2 20 60.07 1000000 No 0 1 75 12 Yes 153 0 No 7 7 Yes 45 Yes 5 0
13308 Male 43 July No No 4 No "" Yes Red Foreign Independent Moderate 10 12 Yes 8 30 12 1000000 No 1 2 69 10 Yes 50 0 No 7 7 Yes 40 Yes 2 2500
13310 Male 47 September Yes No 2 No "" Yes Blue Domestic Independent Moderate 21 10 Yes 10 15 95.86 1000000 No 0 2 70 11 No "" "" No 9 6 Yes 47 Yes 2 1000
13312 Female 29 July Yes No 1 No "" Yes Black Foreign Democrat Moderate 28 4 Yes 40 20 195 500000 Yes 0 2 65 10 Yes 348 1 No 8 7 Yes 52 Yes 5 0
13313 Female 44 October No No 4 No "" Yes White Domestic Democrat Moderate 21 25 Yes 35 21 189.23 1000000 No 0 3 64 8 Yes 183 0.5 Yes 9 7 Yes 60 Yes 3 5000
13314 Female 34 January No No 1 No "" No "" "" Independent Moderate 20 10 Yes 15 30 106 300000 No 0 3 68 9 Yes 422 2 No 8 7 Yes 55 Yes 3 4000
13315 Male 47 December No No 2 No "" Yes Black Foreign Democrat Conservative 40 25 Yes 25 40 120.5 500000 Yes 0 0 73 11 Yes 220 3 Yes 8 7 Yes 51 Yes 8 500
13317 Male 39 September Yes No 5 No "" Yes "Silver or Grey" Domestic Republican Conservative 40 20 Yes 230 300 77.99 200000 Yes 1 4 70 8 Yes 120 0 No 7 7 Yes 45 Yes 3 0
13320 Male 30 November No No 1 No "" No "" "" Democrat Liberal 15 15 Yes 20 25 350 200000 No 0 2 76 12 Yes 187 2 Yes 8 8 Yes 55 Yes 5 17000
13325 Female 29 April Yes Yes 2 No "" Yes Red Domestic Democrat Liberal 15 2 Yes 100 88 135.5 300000 No 0 2 64 8 Yes 400 2 Yes 7 5 Yes 53 Yes 2 2623
13326 Female 43 July No No 4 No "" Yes "Silver or Grey" Domestic Democrat Moderate 15 6 Yes 25 25 173.38 300000 No 0 2 64 9 Yes 225 20 Yes 8 6 Yes 25 Yes 2 0
13329 Female 30 June Yes No 1 No "" No "" "" Independent Liberal 30 3 Yes 100 40 107 500000 No 0 2 66 11 Yes 680 20 No 10 8 Yes 55 Yes 4 0
13333 Female 52 October Yes No 1 No "" Yes Red Foreign Democrat Liberal 40 12 Yes 20 30 100 500000 No 0 1 63 10 Yes 25 0 Yes 8 7 Yes 60 Yes 3 1000
13335 Male 46 October No No 4 No "" Yes "Silver or Grey" Domestic Republican Conservative 8 13 Yes 6 6 29.95 100000 No 0 2 68 9 Yes 12 0 No 8 8 No "" Yes 2 400
