Response_id Gender Age Education "Tax.Rate" GenderIncomeInequality MinWageOpinion MinWageAmount "Political.Philosophy" Text RetirementDollars RetirementAge DeathAge
290408 Female 19 "Some College" 10 No Yes 10 Moderate Yes 1200000 65 90
290410 Female 18 "Some College" 10 Yes Yes 9 Conservative No 350000 61 105
290412 Female 21 "Some College" 10 Yes Yes 9.5 Liberal Yes 1000000 60 90
290413 Female 42 "Some College" 20 Yes No "" Moderate No 200000 65 100
290414 Female 21 "Some College" 20 No No "" Moderate No 500000 62 80
290415 Female 18 "Some College" 15 No No "" Moderate No 1000000 62 85
290416 Female 24 "Some College" 15 Yes Yes 9.5 Moderate No 1000000 57 105
290418 Female 18 "Some College" 15 Yes Yes 10 Moderate No 1000000 75 95
290419 Female 19 "Some College" 3 Yes Yes 10 Moderate Yes 200000 60 85
290420 Male 19 "Some College" 5 No No "" Liberal No 500000 60 80
290421 Male 19 "Some College" 23 Yes Yes 9 Conservative No 700000 70 90
290422 Male 18 "High School Diploma" 10 No Yes 10 Moderate Yes 500000 58 80
290424 Female 26 "Some College" 0 Yes Yes 11 Moderate No 300000 50 90
290425 Male 20 "Some College" 20 Yes Yes 10.5 Liberal Yes 200000 65 100
290426 Female 25 "Some College" 10 No Yes 9 Moderate No 500000 50 87
290428 Female 24 "Some College" 0 No Yes 8.25 Conservative Yes 750000 50 80
290429 Female 18 "Some College" 7 Yes Yes 12 Conservative Yes 300000 65 83
290432 Female 21 "Some College" 20 No No "" Moderate No 2000000 65 100
290433 Female 18 "Some College" 14 Yes Yes 10 Conservative Yes 100000 65 90
290434 Female 35 "Some College" 15 Yes Yes 12 Conservative No 2000000 62 80
290435 Female 20 "Some College" 20 No No "" Liberal No 1000000 70 95
290436 Male 37 "Some College" 15 Yes Yes 15 Moderate No 1500000 65 80
290438 Male 21 "Some College" 9 No Yes 15 Liberal No 250000 60 108
290445 Female 26 "Some College" 15 Yes Yes 10.5 Moderate No 250000 60 100
292008 Female 22 "Some College" 5 Yes No "" Moderate No 900000 65 100
