Month Day Time State "F.Scale" Injuries Fatalities PropLoss Length Width NumberStates F0 ln(Length)
1 2 9:03:00 TX 1 0 0 30000 2.55 100 1 No 0.9360933591703346
1 2 9:44:00 TX 1 0 0 30000 2.57 100 1 No 0.9439058989071284
1 2 10:06:00 LA 1 0 0 25000 0.3 20 1 No -1.2039728043259361
1 2 10:17:00 LA 1 0 0 50000 1.2 50 1 No 0.1823215567939546
1 2 10:30:00 LA 1 0 0 20000 4.64 100 1 No 1.534714366238164
1 2 10:30:00 LA 1 0 0 150000 2.74 100 1 No 1.007957920399979
1 2 11:06:00 LA 1 0 0 50000 0.54 50 1 No -0.616186139423817
1 2 11:30:00 LA 0 0 0 75000 0.54 25 1 Yes -0.616186139423817
1 2 11:31:00 LA 1 0 0 250000 1.4 100 1 No 0.33647223662121284
1 2 11:44:00 LA 1 0 0 1000000 1.64 200 1 No 0.494696241836107
1 2 11:47:00 LA 1 0 0 1000000 2.84 200 1 No 1.0438040521731147
1 2 11:51:00 LA 1 0 0 2500000 1.05 200 1 No 0.04879016416943205
1 2 13:02:00 MS 0 0 0 50000 3.89 250 1 Yes 1.358409157630355
1 2 13:14:00 MS 1 0 0 40000 5.59 200 1 No 1.7209792871670078
1 2 13:21:00 MS 1 0 0 425000 6.81 300 1 No 1.918392120161421
1 2 13:45:00 LA 1 0 0 0 0.08 75 1 No -2.5257286443082556
1 2 13:55:00 MS 1 0 0 0 3.96 100 1 No 1.3762440252663892
1 2 14:00:00 MS 1 0 0 0 0.85 100 1 No -0.16251892949777494
1 2 14:02:00 MS 1 0 0 200000 9.43 400 1 No 2.2438960966453663
1 2 14:21:00 MS 2 0 0 100000 4.2 300 1 No 1.4350845252893227
1 2 14:43:00 MS 1 0 0 110000 3.85 275 1 No 1.3480731482996928
1 2 14:44:00 LA 0 0 0 0 0.01 5 1 Yes -4.605170185988091
1 2 14:52:00 MS 1 0 0 80000 8.36 225 1 No 2.1234584270966104
1 2 15:28:00 MS 0 0 0 20000 1.5 75 1 Yes 0.4054651081081644
1 2 16:24:00 AL 1 0 0 0 3.4 485 1 No 1.2237754316221157
1 2 16:58:00 GA 1 0 0 60000 0.59 200 1 No -0.527632742082372
1 2 19:35:00 AL 2 0 0 550000 7.82 500 1 No 2.05668455455722
1 2 19:46:00 AL 1 0 0 100000 2.52 200 1 No 0.924258901523332
1 2 20:12:00 GA 2 0 0 500000 4.34 400 1 No 1.4678743481123135
1 2 20:14:00 GA 1 0 0 250000 3.73 600 1 No 1.3164082336557241
1 2 20:18:00 GA 2 0 0 500000 10.87 1000 1 No 2.386006701133118
1 2 20:34:00 GA 2 0 0 100000 4.43 500 1 No 1.4883995840570443
1 2 20:41:00 GA 1 0 0 50000 9.91 1000 1 No 2.2935443483418965
1 2 20:52:00 GA 0 0 0 250000 0.66 400 1 Yes -0.4155154439616658
1 2 21:08:00 GA 1 0 0 100000 3.97 200 1 No 1.3787660946990992
1 2 21:32:00 GA 1 0 0 500000 8.95 600 1 No 2.191653532286764
1 7 0:30:00 FL 0 0 0 0 0.24 50 1 Yes -1.4271163556401458
1 9 16:00:00 CA 0 0 0 0 0.18 20 1 Yes -1.7147984280919268
1 11 2:01:00 CA 0 0 0 25000 0.42 130 1 Yes -0.8675005677047232
